Aff,Neg,Judging,Win,Points/Ranks,Ranks
"Michigan State TS																				Strong & Thur","Trinity RS																				Rothenbaum & Solice","Paul, Jonathan",Aff,"1											29.2																					Thur																																								 2											28.9																					Strong																																								 3											28.8																					Rothenbaum																																								 4											28.7																					Solice",
"UC Berkeley MS																				Muppalla & Spurlock","Long Beach City ZD																				Deesse & Zapata","Hampton, Jyleesa",Aff,"1											29.5																					Muppalla																																								 2											29.4																					Spurlock																																								 3											28.5																					Zapata																																								 4											28.4																					Deesse",
"Liberty BC																				Byram & Chiri","UC Berkeley IG																				Greenbury & Irving-Thomas","Smith, Elijah",Aff,"2											28.5																					Byram																																								 1											28.9																					Chiri																																								 3											28.4																					Irving-Thomas																																								 4											28.3																					Greenbury",
"Nevada Las Vegas CH																				Cottrell & Horn","Georgetown MS																				Mills & Shepherd","Strauss, David",Neg,"2											28.8																					Cottrell																																								 4											28.6																					Horn																																								 3											28.7																					Mills																																								 1											29																					Shepherd",
"James Madison LW																				Lepp & Wardak","George Mason BO																				Brown & Oliver","Garrett, Lincoln",Aff,"1											28.5																					Lepp																																								 2											28.4																					Wardak																																								 3											28.3																					Brown																																								 4											28.2																					Oliver",
"Georgetown EK																				Erpenbach & Kelley","UC Berkeley SW																				Sergent-Leventhal & Wimsatt","Justice, Jacob",Neg,"3											28.8																					Erpenbach																																								 4											28.7																					Kelley																																								 1											29.3																					Sergent-Leventhal																																								 2											29																					Wimsatt",
"Southern California SS																				Saiedian & Sharma","Texas CS																				Chowdhury & Segura","Gerber, Matt",Neg,"2											29.3																					Saiedian																																								 4											28.9																					Sharma																																								 1											29.4																					Chowdhury																																								 3											29.1																					Segura",
"Kansas BhCa																				Bhatla & Carey","Georgetown KL																				Knez & Louvis","Perkins, Dallas",Neg,"3											28.7																					Bhatla																																								 4											28.6																					Carey																																								 1											29.2																					Knez																																								 2											28.8																					Louvis",
"Oklahoma HM																				Higgins & Morris","Nevada Las Vegas MT																				Miller & Taylor","Paone, Ralph",Aff,"3											27.8																					Higgins																																								 4											27.6																					Morris																																								 2											27.9																					Miller																																								 1											28																					Taylor",
"Kansas State RS																				Risovi-Hendrickson & Smith","Nevada Las Vegas AO																				Aguilar & Ogata","Souders, Michael",Neg,"4											27.7																					Risovi-Hendrickson																																								 2											28.1																					Smith																																								 1											28.2																					Aguilar																																								 3											28																					Ogata",
"Northwestern MO																				McCarty & O'Brien","Kansas State PR																				Pena & Ramirez","Stanfield, Daniel",Aff,"1											29.3																					McCarty																																								 2											29																					O'Brien																																								 3											28.8																					Pena																																								 4											28.7																					Ramirez",
"Puget Sound FG																				Frank & Gerard","George Mason KK																				Kaye & Kwon","Steiner, Rebecca",Neg,"4											28.7																					Frank																																								 3											28.8																					Gerard																																								 2											28.9																					Kaye																																								 1											29																					Kwon",
"North Texas CS																				Carroll & Sauceda","Harvard BD																				Banks & Drecker-Waxman","Shook, Lindsey",Neg,"4											28.4																					Carroll																																								 3											28.5																					Sauceda																																								 2											28.7																					Banks																																								 1											28.8																					Drecker-Waxman",
