Aff,Neg,Judging,Win,Points/Ranks,Ranks
"UT Dallas SE																				Smalley & Edmonds","Northern Iowa BF																				Berg & Folkers","Leasau, Zachary",Aff,"2											27.3																					Smalley																																								 1											27.4																					Edmonds																																								 4											27																					Berg																																								 3											27.1																					Folkers",
"Oklahoma ZK																				Kimani & Zhou","Kansas City Kansas CC ED																				Easley & Duncan","Rao, Ravi",Neg,"1											29																					Zhou																																								 4											28.3																					Kimani																																								 2											28.8																					Easley																																								 3											28.5																					Duncan",
"Oklahoma VN																				VanHeteren & Nollert","Lindenwood DJ																				De Leon & Johnson","Miller, Aaron",Neg,"4											28.5																					VanHeteren																																								 3											28.6																					Nollert																																								 1											28.8																					De Leon																																								 2											28.7																					Johnson",
"Emporia State RY																				Rickard & Young","Oklahoma HS																				Hiatt & Schleicher","Slaw, Talya",Aff,"2											28.5																					Rickard																																								 1											28.7																					Young																																								 3											28.4																					Hiatt																																								 4											28.3																					Schleicher",
"Southern Methodist SK																				Snyder & Kuraishi","Oklahoma HA																				Higgins & Alvarado Fierro","Jackson, Jalisa",Neg,"4											27.1																					Snyder																																								 2											27.3																					Kuraishi																																								 1											27.4																					Higgins																																								 3											27.2																					Alvarado Fierro",
"Northern Iowa MR																				Miller & Rice","Oklahoma WP																				Witman & Pruitt","Dela Cruz, Liz",Neg,"4											28.2																					Miller																																								 3											28.3																					Rice																																								 1											28.8																					Witman																																								 2											28.4																					Pruitt",
"Kansas City Kansas CC WU																				Willett & Unruh","Kansas PF																				Fry & Philippe","Stutzman, Jacob",Neg,"2											28.3																					Willett																																								 3											28.1																					Unruh																																								 4											28																					Philippe																																								 1											28.5																					Fry",
"Augsburg College HL																				Huffman & Lewis","UT Dallas FK																				Freidl & Kapoor","Eicher, Paul",Neg,"2											27.9																					Huffman																																								 4											27																					Lewis																																								 1											28																					Freidl																																								 3											27.5																					Kapoor",
"Johnson County Community College MS																				Moore & Singleton","Oklahoma PL																				Peron & Lowe","Denney, Ashley",Aff,"1											28.3																					Moore																																								 2											28.2																					Singleton																																								 3											28.1																					Peron																																								 4											27.9																					Lowe",
"Oklahoma AN																				Adil & Nelson","Lindenwood PS																				Page & Swinford","Mapes, Megan",Neg,"2											28.4																					Adil																																								 3											28.3																					Nelson																																								 4											28.2																					Page																																								 1											28.5																					Swinford",
"Iowa AJ																				Anderson & Jackson","Oklahoma MM																				Marak & Moran","Williams, Brittany",Aff,"2											28.2																					Anderson																																								 1											28.3																					Jackson																																								 3											28.1																					Marak																																								 4											28																					Moran",
"Weber State BL																				Bessey & Leyba","Central Oklahoma AW																				Alonzo & Watson","Minton, Tyler",Aff,"1											28.4																					Bessey																																								 2											28.3																					Leyba																																								 4											27.6																					Alonzo																																								 3											28																					Watson",
