Aff,Neg,Judging,Win
"California, Berkeley SW																				Sergent-Leventhal & Wimsatt","UT Dallas BF																				Ballard & Flanagan","Gonzalez, Joshua																													Mapes, Megan																													Russell, Jason","Aff																																																		Aff																																																		Aff"
"Central Oklahoma HS																				Hilligoss & Stidham","Baylor BZ																				Boor & Zoda","Hingstman, David																													Robinson, Eric																													Weitz, Mike “;Shooter“;","Neg																																																									Aff																																											Neg"
"Kansas HaWe																				Harris & Wefald","Southern California BL																				Berger & Larsen","Baez, Kristiana																													Makuch, Flynn																													Taylor, James","Neg																																																		Neg																																																		Neg"
"Oklahoma SP																				Sebunya & Plange","Kansas BR																				Bell & Robinson","Johnson, Willie																													Murray, Steven																													Ruffin, Ameena","Neg																																																									Aff																																																		Aff"
"Texas KS																				Kilpatrick & Stransky","Binghamton SS																				Smith & Sehgal","Cooper, Deven																													Green, LaToya																													Maurer, Samuel","Aff																																																		Aff																																																		Aff"
"North Texas CS																				Carroll & Sauceda","Kansas State KS																				Klucas & Scott","Bosch, Emily																													Loghry, Chris																													McBride, Brian","Aff																																																																							Neg																																																		Neg"
"Houston BR																				Beane & Rajwani","Rutgers-Newark NM																				Nave & Murphy","Jackson, Jalisa																													Quinn, Colin																													Van Luvanee, Lindsay","Neg																																																		Neg																																																		Neg"
"California, Berkeley SM																				Spurlock & Muppalla","Baylor SW																				Sheaff & Walberg","Moore, Matthew																													Petit, Louie																													Slaw, Talya","Aff																																																		Aff																																																		Aff"
"Iowa KL																				Kimbrough & Liriano","Kansas KR																				Katz & Robb","Brennan, Eli																													Bunas, Shae																													Dunn, Izak","Neg																													Aff																																																		Aff"
"Kansas State PR																				Pena & Ramirez","Kansas HeWa																				Hegna & Walter","Rubaie, Brian																													Schauer, Courtney																													Stroud, Micheal","Neg																																																									Aff																																											Neg"
"Kansas BhCa																				Bhatla & Carey","Emporia State FG																				Ford & Gilmore","DiPiazza, Philip																													Jallits, Matthew																													Stout, Daniel","Aff																																																		Aff																																																		Aff"
"Weber State GT																				Gaither & Tippets","Nevada Las Vegas AO																				Aguilar & Ogata","Myers, Andrew																													Spring, Sarah																													Varda, Scott","Aff																																																		Aff																																																		Aff"
"Nevada Las Vegas BK																				Brooks & Kezios","Baylor EG																				Evans & Gustavson","Doty, Kendra																													Lanning, Eric																													Richey, Kate","Neg																													Aff																																																		Aff"
"Binghamton CH																				Cepin & Herrera","Nevada Las Vegas CH																				Cottrell & Horn","Cheek, Ryan																													Kennedy, Sean																													Murillo, Gabe","Aff																																																		Aff																																																		Aff"
"Kansas BiCo																				Birzer & Cook","Cal State Fullerton DG																				Delgado & Gonzalez","Garcia-Lugo, Juan																													Montee, Andy																													Pointer, Steve","Neg																													Aff																																																		Aff"
"Kansas FK																				Foreman & Khatri","Baylor BC																				Barron & Conner","Feldman, Jonah																													McFarland, Ryan																													Watts, Nick","Neg																													Aff																																																		Aff"
