Aff,Neg,Judging,Win,Points/Ranks
"UC Berkeley SW																				Sergent-Leventhal & Wimsatt","Vermont BL																				Brough & Lee","Taylor, James",Aff,"29.1																					Sergent-Leventhal																													29.3																					Wimsatt																													29.2																					Brough																													28.9																					Lee"
"Baylor BC																				Barron & Conner","Oklahoma WS																				Wyde & Schexnayder","Regnier, Jason",Aff,"28.8																					Barron																													28.6																					Conner																													28.5																					Wyde																													28.3																					Schexnayder"
"Baylor BZ																				Boor & Zoda","Central Oklahoma HS																				Hilligoss & Stidham","Watts, Nick",Aff,"29																					Boor																													28.9																					Zoda																													28.7																					Hilligoss																													28.8																					Stidham"
"Baylor EG																				Evans & Gustavson","Georgia BR																				Boyce & Rice","Kennedy, Patrick",Aff,"29																					Evans																													28.7																					Gustavson																													28.9																					Boyce																													28.5																					Rice"
"Texas SK																				Stransky & Kilpatrick","Georgetown KL																				Knez & Louvis","Bankey, Brendon",Neg,"29.1																					Stransky																													29																					Kilpatrick																													29.3																					Knez																													28.7																					Louvis"
"Kansas BC																				Birzer & Cook","Northwestern CE																				Callahan & Esman","Susko, Peter",Aff,"29.1																					Birzer																													28.9																					Cook																													29																					Callahan																													28.8																					Esman"
"UT Dallas LO																				Loehr & Ogbuli","Trinity RS																				Rothenbaum & Solice","Cram Helwich, David",Neg,"29																					Loehr																													28.8																					Ogbuli																													29.1																					Rothenbaum																													28.9																					Solice"
"Kentucky HR																				Hampton & Roman","Rutgers-Newark HQ																				Haughton & Quiroz","Quigley, Dylan",Aff,"29.3																					Hampton																													29.1																					Roman																													28.6																					Haughton																													28.5																					Quiroz"
"Kansas CB																				Carey & Bhatla","Michigan State MW																				Munsinger & Walkington","Lastovica, Kyle",Aff,"29																					Carey																													28.9																					Bhatla																													28.8																					Munsinger																													28.6																					Walkington"
"Southern California SS																				Saiedian & Sharma","Binghamton CH																				Cepin & Herrera","Guha-Majumdar, Jishnu",Aff,"29.2																					Saiedian																													28.8																					Sharma																													28.7																					Cepin																													28.6																					Herrera"
"Rutgers-Newark CS																				Carrera & Stafford","Northwestern MO																				McCarty & O'Brien","Ridley, Sean",Neg,"29.3																					Carrera																													29.4																					Stafford																													29.5																					McCarty																													29.6																					O'Brien"
