Aff,Neg,Judging,Win,Points/Ranks,Ranks
"Monmouth AD																				Allsopp & Diaz","Illinois SH																				Shahriari & Herzing","Jordan, Kathryn",Neg,"3											28.5																					Allsopp																																								 2											28.6																					Diaz																																								 4											28.4																					Shahriari																																								 1											28.8																					Herzing",
"Liberty BG																				Barnett & Green","George Mason BT																				Beck & Troxel","Giordano, Arielle",Neg,"4											27.9																					Barnett																																								 2											28.5																					Green																																								 3											28																					Beck																																								 1											29																					Troxel",
"George Mason GR																				Guzman & Reddy","Miami LL																				Li & Lynch","Miller, Ellie",Aff,"2											28.7																					Guzman																																								 1											28.8																					Reddy																																								 4											28.5																					Li																																								 3											28.6																					Lynch",
"Illinois HH																				Hodgson & Henderson","Liberty PS																				Parish & Stewart","Johnson, Taylor",Neg,"1											28.1																					Hodgson																																								 4											27.6																					Henderson																																								 3											27.8																					Parish																																								 2											27.9																					Stewart",
"Liberty BM																				Barnett & Macumber","Miami KS																				Kozloski & Schulz","Crowe, Michael",Aff,"1											27.9																					Barnett																																								 2											27.7																					Macumber																																								 4											27.3																					Kozloski																																								 3											27.5																					Schulz",
"Liberty AA																				Allison & Alvord","George Mason AZ																				Ahmed & Zhao","DeLong, Brian",Neg,"4											28.5																					Allison																																								 3											28.7																					Alvord																																								 1											29																					Ahmed																																								 2											28.9																					Zhao",
"Mary Washington KW																				Kaiser & Williams","Wake Forest MY																				Mauney & Ye","Woodward, David Michael",Aff,"3											28.1																					Kaiser																																								 1											28.7																					Williams																																								 4											28																					Mauney																																								 2											28.5																					Ye",
"George Mason KK																				Kim & Kolankiewicz","Illinois AC																				Akari & Carter","Webster Dunn, Christy",Aff,"1											27.7																					Kim																																								 2											27.6																					Kolankiewicz																																								 4											27.4																					Akari																																								 3											27.5																					Carter",
"Monmouth RD																				Rashid & Diolosa","Navy PS																				Shea & Psichas","Stewart, Clay",Neg,"4											27.8																					Rashid																																								 3											27.9																					Diolosa																																								 1											28.9																					Psichas																																								 2											28.5																					Shea",
"George Mason MZ																				Morrison & Zafar","Boston Coll WW																				Wortsman & Wong","Porter, Kristen",Neg,"4											27																					Morrison																																								 3											27.5																					Zafar																																								 1											28.5																					Wortsman																																								 2											28																					Wong",
"George Mason BL																				Biggs & Ludwig","Monmouth HM																				Husani & Meyers","Taylor, Terrell",Aff,"1											28.8																					Biggs																																								 2											28.6																					Ludwig																																								 3											28																					Husani																																								 4											27.9																					Meyers",
