Aff,Neg,Judging,Win,Points/Ranks
"Kentucky BT																				Bannister & Trufanov","George Mason HM																				Howley & Melton","Gliniecki, Tom",Aff,"28.9																					Bannister																													28.8																					Trufanov																													28.5																					Howley																													28.4																					Melton"
"Nevada Las Vegas BO																				Berrios & Ogata","Michigan GW																				Goldschlag & Walrath","Petersen, Mathew",Neg,"28.3																					Berrios																													28.1																					Ogata																													28.2																					Goldschlag																													28.4																					Walrath"
"West Georgia CC																				Charles & Chan","Kansas CB																				Cook & Birzer","Antonucci, Michael",Neg,"28.9																					Charles																													29																					Chan																													29.1																					Cook																													29.2																					Birzer"
"CSU Long Beach BP																				Broadway & Pavlath","Emory FR																				Fiero & Reed-Guevara","Cheek, Ryan",Neg,"28																					Broadway																													28.2																					Pavlath																													28.6																					Fiero																													28.5																					Reed-Guevara"
"Gonzaga SJ																				Spraker & Johnson","Washington BP																				Bellis & Petrone","Paul, Jonathan",Aff,"28.4																					Spraker																													28.6																					Johnson																													28.3																					Bellis																													28.5																					Petrone"
"George Mason KO																				Kaye & Oliver","Louisville PT																				Pope & Tolbert","Lundeen, Sarah",Aff,"-1 Kaye																													28.7																					Oliver																													28.4																					Pope																													28.6																					Tolbert"
"Fresno State MA																				Martinez & Arenas","Rutgers-Newark CW																				Carrera & Wyche","Thompson, Jacob",Aff,"27.8																					Martinez																													27.7																					Arenas																													28																					Carrera																													27.9																					Wyche"
"Kentucky AN																				Adam & Noparstak","Harvard BG																				Borbon & Gehling","Phillips, Scott",Aff,"28.6																					Adam																													29																					Noparstak																													28.5																					Borbon																													28.9																					Gehling"
"UC Berkeley OP																				Obuchi & Park","Northwestern CE																				Callahan & Esman","Souders, Michael",Neg,"28.6																					Obuchi																													28.5																					Park																													28.9																					Callahan																													28.8																					Esman"
"Towson BM																				Booker & Medeiros","Louisville GT																				Gordon & Thompson","Shaheed, Aliyah",Aff,"29.8																					Booker																													29.7																					Medeiros																													29																					Gordon																												Thompson"
"Oklahoma WJ																				White & Juarez","George Mason BH																				Brown & Hansen","Brough, Taylor",Aff,"29.9																					White																													29.8																					Juarez																													29.7																					Brown																													29.6																					Hansen"
"Indiana HF																				Hoffman & Ferguson","Wake Forest MM																				Manchester & Mitchell","Joiner, Brina",Aff,"28																					Hoffman																													29																					Ferguson																													27.5																					Manchester																													27																					Mitchell"
"Indiana PS																				Pulluru & Slade","Binghamton MP																				Montero & Pan","Barquin, Joseph",Neg,"28.5																					Pulluru																													28.4																					Slade																													28.7																					Montero																													28.3																					Pan"
"Stanford HP																				Hackett & Prabhu","Indiana DG																				Dehmlow Dunne & Gallina","Crossan, Ben",Aff,"28.7																					Hackett																													28.8																					Prabhu																													28.6																					Dehmlow Dunne																													28.5																					Gallina"
"CSU Northridge AR																				Aceves & Ramos","San Francisco State HG																				Heicht & Gray","Sauceda, Hope",Neg,"28.2																					Aceves																													28.3																					Ramos																													28.4																					Heicht																													28.5																					Gray"
"Binghamton SB																				Smith & Buttgereit","Washington EM																				Elizondo & Maghirang","Cooper, Deven",Aff,"28.9																					Smith																													28.7																					Buttgereit																													28.5																					Elizondo																													28.4																					Maghirang"
"Emory FL																				Forman & Lowe","Kansas BB																				Bajwa & Bhatla","Gannon, Seth",Aff,"29.2																					Forman																													29.1																					Lowe																													28.8																					Bajwa																													28.9																					Bhatla"
"Nevada Las Vegas SS																				Smith & Stinnett","Michigan MD																				Meyers-Levy & Donovan","Erpenbach, Jackson",Neg,"28.5																					Smith																													28.3																					Stinnett																													28.8																					Meyers-Levy																													28.7																					Donovan"
"Towson BG																				Begum & Gillespie","UC Berkeley FM																				Fleming & Martin","Lee, Khalil",Neg,"28.6																					Begum																													28.4																					Gillespie																													28.7																					Fleming																													28.5																					Martin"
"Nevada Las Vegas TW																				Taylor & Warren","Georgetown MS																				Mills & Shepherd","Lastovica, Kyle",Neg,"28.4																					Taylor																													28.5																					Warren																													28.6																					Mills																													28.7																					Shepherd"
"Texas BP																				Bleiweiss & Pabst","Binghamton YA																				Yan & Allan","Ard, Marquis",Aff,"29.2																					Bleiweiss																													29.1																					Pabst																													28.5																					Yan																													28.6																					Allan"
"Oklahoma PS																				Pickens & Sanchez","Kansas FK																				Fry & Katz","montee, andy",Aff,"29.5																					Pickens																													29.6																					Sanchez																													29.3																					Fry																													29.4																					Katz"
"Cal State Fullerton HJ																				Harris & Johnston","Southern California BS																				Berger & Sharma","Whitley, Kevin",Neg,"28.4																					Harris																													28.3																					Johnston																													28.8																					Berger																													28.5																					Sharma"
