Aff,Neg,Judging,Win,Points/Ranks,Ranks
"James Madison CD																				Conroy & Deihl","Samford DR																				Davenport & Reamer","Lastovica, Kyle",Aff,"2											28.3																					Conroy																																								 1											28.4																					Deihl																																								 4											28																					Davenport																																								 3											28.1																					Reamer",
"Georgia MH																				Marshall & Hackman","George Mason HM																				Howley & Melton","Crenshaw, Michael",Neg,"3											28.8																					Marshall																																								 4											28.7																					Hackman																																								 1											29.1																					Howley																																								 2											28.9																					Melton",
"Rutgers-Newark CS																				Carrera & Stafford","Kentucky RP																				Rivas & Powell","Meloche, Brad",Aff,"3											28.7																					Carrera																																								 1											29.2																					Stafford																																								 2											28.8																					Rivas																																								 4											28.6																					Powell-Pkojo",
"James Madison BK																				Buchholz & Konrad","Wake Forest EG																				Estrada & geraghty","Allen, Sam",Neg,"4											28.4																					Buchholz																																								 3											28.5																					Konrad																																								 2											28.6																					Estrada																																								 1											28.8																					Geraghty",
"Binghamton YA																				Yan & Allan","George Mason BH																				Brown & Hansen","Ridley, Sean",Neg,"2											29																					Yan																																								 4											28.8																					Allan																																								 1											29.2																					Brown																																								 3											28.9																					Hansen",
"Georgia HH																				Hoover & Henderson","Boston College MP																				MacDonald & Pressman","Yim, Andrew",Aff,"2											29																					Henderson																																								 1											29.1																					Hoover																																								 4											28.7																					MacDonald																																								 3											28.8																					Pressman",
"Pittsburgh KL																				Krizan & Lee","Wake Forest CS																				Callahan & Super","Nagy, John",Neg,"1											28.4																					Krizan																																								 4											28.1																					Lee																																								 3											28.2																					Callahan																																								 2											28.3																					Super",
"Liberty BW																				Blow & Wierschem","Wayne State HD																				Husic & Davis","Newman, Jennifer",Aff,"1											29.5																					Blow																																								 2											29.4																					Wierschem																																								 3											29.3																					Husic																																								 4											29.2																					Davis",
"NYU AZ																				Andreyeva & Zhang","George Mason KO																				Kaye & Oliver","Astacio, Carlos",Aff,"3											28.2																					Andreyeva																																								 1											28.4																					Zhang																																								 4											28.1																					Kaye																																								 2											28.3																					Oliver",
"Wake Forest NW																				Nys & Williams","Liberty HS																				Harrington & Samuel","Mullins, Stephen",Aff,"2											29.4																					Nys																																								 1											29.5																					Williams																																								 4											28.3																					Harrington																																								 3											28.5																					Samuel",
"Binghamton MX																				Montero & Xu","James Madison CT																				Cerja & Thies","Woodward, David Michael",Neg,"1											28.8																					Montero																																								 4											28.5																					Xu																																								 2											28.7																					Cerja																																								 3											28.6																					Thies",
"Georgetown DG																				Duflock & Galant","Dartmouth ML																				Mohapatra & Lee","Poapst, Jackie",Neg,"4											28.3																					Duflock																																								 3											28.6																					Galant																																								 2											28.7																					Mohapatra																																								 1											28.8																					Lee",
"Liberty OR																				Omala & Robinson","NYU CR																				Cammayo & Reyes","Mihelcic, Zeke",Neg,"4											28.5																					Omala																																								 2											28.8																					Robinson																																								 3											28.7																					Cammayo																																								 1											28.9																					Reyes",
"James Madison LW																				Lepp & Wardak","Pittsburgh BF																				Brahin & Ferolie","Glass, Robert",Aff,"1											29.2																					Lepp																																								 2											29																					Wardak																																								 4											28.3																					Brahin																																								 3											28.5																					Ferolie",
"Pittsburgh CR																				Cusick & Ramanna","West Virginia BC																				Baker & Colón","Jordan, Kathryn",Aff,"3											28.5																					Cusick																																								 4											28.4																					Ramanna																																								 1											28.7																					Baker																																								 2											28.6																					Colón",
"United States Military WS																				Watts & Smith","Georgia YM																				Yonter & Mokhemar","Schiess, Kaitlyn",Neg,"4											28																					Watts																																								 2											28.3																					Smith																																								 3											28.2																					Yonter																																								 1											28.4																					Mokhemar",
"Wayne State AC																				Anton & Curtiss","Kentucky SL																				Sanchez & Lopez","Walker, Wesley",Aff,"2											28.9																					Anton																																								 1											29																					Curtiss																																								 4											28.4																					Sanchez																																								 3											28.5																					Lopez",
"Pittsburgh AK																				Abdul-Aziz & Katz","Binghamton SB																				Smith & Buttgereit","Kozak, Chris",Neg,"3											28.1																					Abdul-Aziz																																								 4											28																					Katz																																								 1											28.7																					Smith																																								 2											28.6																					Buttgereit",
"Georgia AR																				Agrawal & Ramanan","West Virginia/Binghamton WG																				Williams & Gopalakrishnan","Webster Dunn, Christy",Aff,"2											28.7																					Agrawal																																								 1											29.3																					Ramanan																																								 3											27.4																					Williams																																								 4											27.3																					Gopalakrishnan",
"Pittsburgh DL																				Denison & Levinson","Georgetown GL																				Gibson & Li","Milton, Nate",Aff,"1											29.2																					Denison																																								 3											29																					Levinson																																								 4											28.7																					Gibson																																								 2											29.1																					Li",
"Wayne State JM																				Jancek & Maxey","Liberty JR																				Jackson & Robillard","McCleary, Patrick",Aff,"4											27.5																					Jancek																																								 1											28.3																					Maxey																																								 3											28																					Jackson																																								 2											28.1																					Robillard",
"Georgia RS																				Rice & Stupek","Florida State GM																				Gomez & McMillan","Call, Hannah",Aff,"1											29.2																					Rice																																								 2											29.1																					Stupek																																								 3											27.3																					Gomez																																								 4											27.2																					McMillan",
"Navy GM																				Gutierrez & Mueller","Binghamton PM																				Pan & Martin","McGrath, Cynthia",Aff,"3											28.5																					Gutierrez																																								 1											28.7																					Mueller																																								 2											28.6																					Pan																																								 4											28.4																					Martin",
