Aff,Neg,Judging,Win,Points/Ranks
"Kansas HC																				Henry & Crater","Kansas State GL																				Griffin & Leyba","Loghry, Chris",Aff,"29.2																					Henry																													29																					Crater																													28.9																					Griffin																													29.1																					Leyba"
"UT Dallas GV																				Gilbert & Vera","Concordia College GN																				Gartner & Nolan","Elliott, Scott",Neg,"28.1																					Gilbert																													28.2																					Vera																													28.3																					Gartner																													28.4																					Nolan"
"Kansas WS																				Woodcock & Schrag","Kansas City Kansas CC OR																				O'Connor & Rose","Schauer, Courtney",Neg,"28.6																					Woodcock																													28.7																					Schrag																													28.4																					O'Connor																													28.9																					Rose"
"UT Dallas BS																				Baez & Sanchez","Missouri - Kansas City HJ																				Hauschildt & Jutt","Bankey, Brendon",Neg,"28.5																					Baez																													28																					Sanchez																													28.8																					Hauschildt																													28.6																					Jutt"
"Kansas BF																				Bajwa & Fry","Missouri - Kansas City SK																				Scott & Kroger","DiPiazza, Philip",Aff,"28.5																					Bajwa																													28.8																					Fry																													28.7																					Scott																													28.6																					Kroger"
"Kansas FP																				Fort & Philippe","Johnson County Community ES																				Engelbert & Singleton","montee, andy",Neg,"28.4																					Fort																													28.5																					Philippe																													28.7																					Engelbert																													28.8																					Singleton"
"Kansas GS																				Glasscock & Sosalla-Bahr","Missouri - Kansas City MS																				Mitchell & Schartz","Denney, Ashley",Aff,"28.8																					Glasscock																													29																					Sosalla-Bahr																													28.5																					Mitchell																													28.6																					Schartz"
"UT Dallas Sa																				Bawany & Sanchez","UT San Antonio WR																				Woeppel & Rodriguez","Taylor, James",Aff,"28.2																					Bawany																													28.5																					Sanchez																													28.1																					Woeppel																													27.5																					Rodriguez"
"Washington BT																				Bellis & Taute","Emporia State MW																				Monteith & Wathke","Samuels, Phil",Aff,"28.4																					Bellis																													28.1																					Taute																													28.3																					Monteith																													28.2																					Wathke"
"Kansas TS																				Thomas & Schroeder","Kansas City Kansas CC WW																				Willett & Williams","Souders, Michael",Neg,"28																					Thomas																													27.9																					Schroeder																													28.1																					Willett																													28.2																					Williams"
