Aff,Neg,Judging,Win,Points/Ranks
"UT Dallas BJ																				Becker & Johnson","Kansas GS																				Glasscock & Sosalla-Bahr","Schauer, Courtney",Neg,"28.5																					Becker																													28.6																					Johnson																													28.7																					Glasscock																													28.8																					Sosalla-Bahr"
"Missouri State ME																				Morrison & Evans","Kansas ST																				Schroeder & Thomas","Abraha, Danny",Neg,"28.3																					Morrison																													28.2																					Evans																													28.5																					Schroeder																												Thomas"
"UT Dallas GV																				Gilbert & Vera","Missouri - Kansas City HC																				Hauschildt & Cho","McFarland, Hunter",Neg,"28.7																					Gilbert																													28.5																					Vera																													28.8																					Hauschildt																													28.6																					Cho"
"Texas BS																				Barrish & Sen","Kansas CH																				Crater & Henry","Vitolo, CV",Aff,"29.5																					Barrish																													29.6																					Sen																													29.4																					Crater																													29.3																					Henry"
"NYU DS																				Dalton & Szczechowski","Missouri State WS																				West & Specker","DiPiazza, Philip",Neg,"28.2																					Dalton																													28.4																					Szczechowski																													28.1																					West																													28.3																					Specker"
"Wichita State CR																				Cassil & Roy","NYU LR																				Lloyd & Raveneau","Denney, Ashley",Neg,"28.1																					Cassil																													28.2																					Roy																													28.3																					Lloyd																													28.4																					Raveneau"
"Wichita State CW																				Crane & Welch","Missouri - Kansas City MS																				Mitchell & Schartz","Harris, Scott",Aff,"28.9																					Crane																													28.8																					Welch																													28.6																					Mitchell																													28.5																					Schartz"
"Northern Iowa KM																				Kuiper & Miller","Wyoming CH																				Culver & Henman","Vint, Kyle",Aff,"28.8																					Kuiper																													28.7																					Miller																													28.5																					Culver																													28.4																					Henman"
"Kansas City Kansas CC WW																				Willett & Williams","Iowa RW																				Roetlin & Wright","Russell, Jason",Neg,"28.5																					Willett																													28.3																					Williams																													28.7																					Roetlin																													28.6																					Wright"
"Missouri - Kansas City SK																				Scott & Kroger","Texas JW																				Jones & Wilczynski","Quinn, Colin",Aff,"28.3																					Scott																													28.6																					Kroger																													28.4																					Jones																													28.5																					Wilczynski"
"NYU BC																				Booth & Choi","Wyoming HL																				Hellebuick & Lamb","Beier, Ian",Neg,"28.6																					Booth																													28.5																					Choi																													28.7																					Hellebuick																													28.8																					Lamb"
"Missouri State DW																				Dickerson & Wicks","Kansas BP																				Bashaw & Philippe","Leonardi, Chris",Neg,"28.2																					Dickerson																													28.3																					Wicks																													28.6																					Bashaw																													28.7																					Philippe"
"Iowa PJ																				Phalen & Jackson","UT Dallas BS																				Baez & Sanchez","Stroud, Micheal",Aff,"28.6																					Phalen																													28.7																					Jackson																													28.5																					Baez																													28.2																					Sanchez"
"Texas BC																				Blaker & Cheung","Kansas FL																				Fort & Lipka","Gillette, Tyler",Neg,"28.7																					Blaker																													28.9																					Cheung																													29																					Fort																													29.2																					Lipka"
"Baylor SW																				Sheaff & Walberg","Central Oklahoma CM																				Colen & Moore","McCullough, Hunter",Aff,"29																					Sheaff																													28.9																					Walberg																													28.6																					Colen																													28.4																					Moore"
"Wichita State OS																				O'Donnell & Saunders","Texas KM																				Keleman & McKinley","Zhan, Bobby",Aff,"29																					O'Donnell																													28.8																					Saunders																													28.7																					Keleman																													28.9																					McKinley"
"Georgia State HW																				Hussein & Williams","Kansas SW																				Schrag & Woodcock","Cram, Travis",Neg,"28																					Hussein																													27.9																					Williams																													28.2																					Schrag																													28.3																					Woodcock"
"UT Dallas AR																				Agarwala & Rizvi","Central Oklahoma HS																				Hilligoss & Stidham","Chase, Allie",Neg,"28.5																					Agarwala																													28.7																					Rizvi																													28.6																					Hilligoss																													28.9																					Stidham"
"Kansas State PL																				Pena & Leyba","Concordia DH																				Depass & Rose","Sehgal, Dhruv",Neg,"30																					Pena																													29.8																					Leyba																													29.9																					Depass																													29.7																					Rose"
