Aff,Neg,Judging,Win,Points/Ranks
"Oklahoma JS																				Juarez & Smith","Texas BP																				Bleiweiss & Pabst","Garner, Richard",Neg,"29.4																					Juarez																													29.2																					Smith																													29.3																					Bleiweiss																													29.5																					Pabst"
"Houston LW																				Love & Williams","Central Oklahoma BM																				Brenneman & Moore","Richey, Kate",Neg,"28.7																					Love																													28.6																					Williams																													28.8																					Brenneman																													29																					Moore"
"Kansas HM																				Hegna & Martin","Baylor RW																				Ramsey & Wilson","Loehr, Jacob",Aff,"29																					Hegna																													29.1																					Martin																													28.9																					Ramsey																													28.8																					Wilson"
"Wichita State SW																				Saunders & Welch","Oklahoma PS																				Pickens & Sanchez","Lassiter, Jack",Neg,"29.4																					Saunders																													29.6																					Welch																													29.9																					Pickens																													29.7																					Sanchez"
"Missouri - Kansas City SW																				Schartz & Willett","Texas SW																				Sen & Watts","Michael, Joshua",Neg,"29																					Schartz																													28.8																					Willett																													29.1																					Sen																													28.9																					Watts"
"UT Dallas BK																				Baez & Kaul","Emporia State SW																				Singleton & Warfield","Varda, Scott",Neg,"28.8																					Baez																													28.7																					Kaul																													29.1																					Singleton																													28.9																					Warfield"
"Trinity DK																				Dill & Khullar","Baylor BZ																				Barron & Zoda","Antonucci, Michael",Aff,"29.3																					Dill																													29.2																					Khullar																													29.4																					Barron																													29.5																					Zoda"
"Johnson County Community EM																				Esfandiary & Moncure","Missouri State DE																				Dickerson & Evans","Samuels, Phil",Neg,"26																					Esfandiary																													28.6																					Moncure																													28.4																					Dickerson																													28.5																					Evans"
"Missouri State SW																				Smith & Wicks","Johnson County Community RN																			Ruder & Niermann","Stanfield, Daniel",Aff,"28.5																					Smith																													29.2																					Wicks																													28.6																					Ruder																													29.1																					Niermann"
"Missouri - Kansas City JS																				Jutt & Scott","Emporia State MR																				Monteith & Rickard","Brennan, Eli",Aff,"29.2																					Jutt																													29.1																					Scott																													28.9																					Monteith																													28.8																					Rickard"
