Aff,Neg,Judging,Win
"Kansas KR																				Katz & Robinson","Wichita State WH																				Welch & Hoffman","Rebrovick, Tripp																													Rippetoe, Samantha																													Steiner, Rebecca","Aff																																																		Aff																																																		Aff"
"Harvard BC																				Bates & Cooper","Emory CJ																				Cozad & James","Bennie, Natalie																													Gannon, Pablo																													Meyers-Levy, Dustin","Neg																													Aff																																																																							Neg"
"Georgia RS																				Rice & Stupek","Oklahoma JS																				Juarez & Smith","Dhillon, Kiran																													Fifelski, Kurt																													Klarman, Brian","Neg																													Aff																																																		Aff"
"Georgia AR																				Agrawal & Ramanan","Wake Forest MR																				Mitchell & Reddy","Cram Helwich, David																													Repko, William																													Russell, Jason","Aff																																																		Aff																																																		Aff"
"Northwestern LY																				Levin & Young","Kentucky AN																				Adam & Noparstak","Bauschard, Stefan																													Lowe, Kristen																													Wunderlich, Carly","Neg																																																		Neg																																																		Neg"
"Emory SY																				Shaikh & Yamout","Michigan State RW																				Rodriguez & Walkington","Bolman, Brad																													Moczulski, Leah																													Struth, Matt","Neg																																																		Neg																																																		Neg"
"Trinity DK																				Dill & Khullar","Michigan State PB																				Pepper & Brown","Lastovica, Kyle																													Phillips, Scott																													Turner, John","Neg																																																		Neg																																																		Neg"
"Wake Forest GK																				geraghty & Klein","Harvard MS																				Midha & Sanjeev","Bricker, Brett																													Herndon, James																													Thur, Tyler","Neg																																																		Neg																																																		Neg"
"Minnesota AL																				Asirvatham & Leburu","Central Oklahoma HS																				Hilligoss & Stidham","Atchison, Jarrod																													Buntin, Jeff																													Karthikeyan, Viveth","Neg																																																		Neg																																																		Neg"
"Michigan GW																				Goldschlag & Walrath","Dartmouth FT																				Funston & Tambe","Fisher, Corey																													Mosley-Jensen, William																													Sigalos, Jason","Aff																																																		Aff																																											Neg"
"UC Berkeley GF																				Gray & Fleming","Northwestern CE																				Callahan & Esman","Gliniecki, Tom																													Manchester, Jack																													Roark, Collin","Neg																																																		Neg																																																		Neg"
"Southern California BL																				Berger & Larsen","Michigan RS																				Roche & Shelton","Min, Richard																													Starks, LaTonya																													Strong, Margaret","Aff																																											Neg																																																									Aff"
"Emory FG																				Forman & Gazmararian","Emory DP																				Demers & Phillips",BYE,
"Nevada Las Vegas GH																				Gomez & Horn","Dartmouth AA																				Ahmad & Anderson","Hall, Sherry																													Kennedy, Sean																													Morgan, Will","Aff																																																		Aff																																																		Aff"
"Harvard AM																				Asimow & Medrano","Northwestern JW																				Jankovsky & Weideman","Brennan, Eli																													Harrigan, Casey																													Hirn, Kevin","Aff																																																		Aff																																																		Aff"
"Kentucky BT																				Bannister & Trufanov","Central Oklahoma CM																				Colen & Moore","Holland, John																													McIntosh, Val																													Solice, Maggie","Aff																																																		Aff																																																		Aff"
