Aff,Neg,Judging,Win,Points/Ranks
"George Mason ZK																				Zhao & Kim","Liberty AB																				Alvord & Barnett","Murray, Steven",Aff,"28.6																					Zhao																													28.5																					Kim																													28.8																					Alvord																													28.7																					Barnett"
"Miami LL																				Li & Lynch","Cornell BS																				Balasu & Shi","Poapst, Jackie",Aff,"28.7																					Li																													29																					Lynch																													28.8																					Balasu																													28.6																					Shi"
"Minnesota GM																				Granstrom & Mokhtar","James Madison FM																				French & Mingo","Hall, Emily",Aff,"28.4																					Granstrom																													28.5																					Mokhtar																													28.3																					French																													28.2																					Mingo"
"Liberty GG																				Grimes & Grant","James Madison KM																				Kratowicz & Muralidaran","Steffan, Mike",Neg,"28.2																					Grimes																													28.4																					Grant																													28.5																					Kratowicz																													28.3																					Muralidaran"
"Minnesota/Mary Washington SH																				Snoddy & Huebler","United States Military DC																				Cochrane & Drake","Brown, Isaac",Aff,"28.4																					Snoddy																													28.8																					Huebler																													28																					Drake																													28.3																					Cochrane"
"George Mason RL																				Reddy & Lauer","Cornell CD																				Chang & Dahms","Rubaie, Brian",Neg,"28.5																					Reddy																													29																					Lauer																													28.7																					Chang																													28.8																					Dahms"
"George Mason GZ																				Guzman & Zafar","Georgia MG																				Mokhemar & Gollner","Fifelski, Kurt",Neg,"28																					Guzman																													28.1																					Zafar																													28.5																					Mokhemar																													28.6																					Gollner"
"George Mason TK																				Turpen & Kazangian","Wayne State JM																				Jancek & Matmanivong","Hiland, Al",Aff,"27.7																					Turpen																													27.8																					Kazangian																													27.6																					Jancek																													27.5																					Matmanivong"
"Navy PA																				Psichas & Amodeo","Cornell LS																				Li & Safer","Decker, Warren",Aff,"27.5																					Psichas																													27.6																					Amodeo																													27.3																					Li																													27.4																					Safer"
"Indiana NK																				Njuguna & Kalyan","Cornell TV																				Tan & Van Buren","thomas, michelle",Neg,"28																					Njuguna																													28.1																					Kalyan																													28.5																					Tan																													28.4																					Van Buren"
"United States Military SL																				Smith & Landefeld","George Mason LB																				Ludwig & Beck","Klarman, Brian",Neg,"28.3																					Smith																													28.2																					Landefeld																													28.9																					Ludwig																													29																					Beck"
"Navy GY																				German & Yu","Liberty AS																				Allison & Stewart","Milton, Nate",Neg,"27.8																					German																													27.7																					Yu																													28.1																					Allison																													27.9																					Stewart"
"Boston College DW																				Dewhurst & Wong","Liberty BS																				Barnett & Schwab","Warner, Steven",Aff,"28.2																					Dewhurst																													28.1																					Wong																													27.9																					Barnett																													27.8																					Schwab"
