Aff,Neg,Judging,Win,Points/Ranks
"Wayne State AD																				Anton & Davis","Dartmouth FT																				Funston & Tambe","Meyers-Levy, Dustin",Neg,"28.7																					Anton																													28.9																					Davis																													28.8																					Funston																													29.1																					Tambe"
"James Madison CT																				Conroy & Thies","United States Military MS																				Matlack & Smith","Robinson, Rakeem",Aff,"28.9																					Conroy																													29.2																					Thies																													28.5																					Matlack																													28.6																					Smith"
"Navy GL																				Gutierrez & Lewis","Iowa NO																				Namakula & Oberto-Besso","Ferguson, Kegan",Aff,"-1   Gutierrez																									-1			Lewis															-1													Namakula																									-1			Oberto-Besso"
"Cornell MS																				Mensah & Song","Trinity CP																				Carlson & Pereda","Kaye, Rich",Aff,"28.5																					Mensah																													28.4																					Song																													28.1																					Carlson																													27.4																					Pereda"
"Pittsburgh FK																				Ferolie & Ku","Dartmouth EM																				Estrada & McCallum","Murray, Steven",Neg,"28.8																					Ferolie																													28.7																					Ku																													28.9																					Estrada																													28.6																					McCallum"
"Indiana TD																				Tally & Dehmlow Dunne","Dartmouth HC																				Hall & Chakravarty","Shook, Lindsey",Aff,"28.5																					Tally																													28.2																					Dehmlow Dunne																													28.3																					Hall																													28.1																					Chakravarty"
"Dartmouth LX																				Lee & Xiang","George Mason HL																				Hansen & Lowery","Chebrolu, Rishi",Neg,"28.3																					Lee																													28.2																					Xiang																													28.7																					Hansen																													28.6																					Lowery"
"Minnesota DL																				Dharmadhikari & Le","West Virginia MB																				Modestita & Baker","Johnson, Korey",Neg,"28.7																					Dharmadhikari																													28.9																					Le																													29																					Modestita																													28.8																					Baker"
"Michigan LV																				Love & Vance","James Madison CH																				Cerja & Harris","Vint, Kyle",Aff,"28.5																					Love																													28.6																					Vance																													28.4																					Cerja																													28.1																					Harris"
"Minnesota JW																				Jamal & Welborn","Kentucky KM																				Martinez & Kendrick","McIntosh, Val",Aff,"27.4																					Jamal																													27.6																					Welborn																													27.5																					Kendrick																													28																					Martinez"
"James Madison KW																				Konrad & Wardak","Gonzaga DL																				DeGiovanni & Luther","Rubaie, Brian",Aff,"28.6																					Konrad																													28.8																					Wardak																													28.7																					DeGiovanni																													28.5																					Luther"
"Wake Forest CE																				Callahan & Estrada","Michigan PJ																				Pujol & Jacobs","Geldof, Jonathan",Aff,"29.1																					Callahan																													29																					Estrada																													28.8																					Pujol																													28.9																					Jacobs"
"Kentucky SL																				Lopez & Sanchez","Georgia YW																				Yonter & Weintraub","Decker, Warren",Aff,"28																					Sanchez																													27.8																					Lopez																													27.7																					Yonter																													27.5																					Weintraub"
"Liberty GK																				Green & Kathol","Florida AJ																				Alexis & Jean-Baptiste","Lee, Khalil",Aff,"29.2																					Green																													29.1																					Kathol																													29																					Alexis																													28.6																					Jean-Baptiste"
"Florida SS																				Sanchez & Spicer","Mary Washington CL																				Coon & Lewis","Call, Hannah",Neg,"28.1																					Sanchez																													28.4																					Spicer																													28.9																					Coon																													29																					Lewis"
"Wake Forest LM																				Logan & Marban","Michigan MW																				McGraw & Wolfson","O'Gorman, Tom",Aff,"28.5																					Logan																													28.7																					Marban																													28.4																					McGraw																													28.6																					Wolfson"
"George Mason HO																				Howley & Oliver","Trinity DK																				Dill & Khullar","Manchester, Jack",Neg,"28.9																					Howley																													28.8																					Oliver																													29																					Dill																													29.1																					Khullar"
"Pittsburgh BR																				Brahin & Ramanna","George Mason CA																				Clarke & Ahmed","Crenshaw, Michael",Aff,"28.6																					Brahin																													28.5																					Ramanna																													28.4																					Clarke																													28.2																					Ahmed"
"Georgetown GP																				Gibson & Piliero","Michigan SR																				Shelton & Roche","Poapst, Jackie",Aff,"28.8																					Gibson																													29																					Piliero																													28.7																					Shelton																													28.9																					Roche"
"Wake Forest GT																				Gidley & Tomasi","Dartmouth AA																				Ahmad & Anderson","Steffan, Mike",Neg,"28.8																					Gidley																													28.9																					Tomasi																													29																					Ahmad																													29.1																					Anderson"
"Gonzaga JB																				Johnson & Basler","Kentucky AN																				Adam & Noparstak","Malsin, Mikaela",Neg,"28.5																					Johnson																													28.7																					Basler																													29																					Adam																													29.1																					Noparstak"
"Kentucky HR																				Hackman & Rivas","James Madison GS																				Gamboa & Sedhai","Miller, Nicholas",Aff,"29.2																					Hackman																													29																					Rivas																													28.7																					Gamboa																													28.6																					Sedhai"
