Aff,Neg,Judging,Win,Points/Ranks
"Wyoming LT																				Talamantes & Lamb","Washington AH																				Avery & Hartman","Stevenson, James",Aff,"28.7																					Lamb																													28.8																					Talamantes																													28.5																					Avery																													28.4																					Hartman"
"Minnesota CW																				Cavnar-Johnson & Welborn","Weber State GM																				Gaither & Morales","Lee, Daniel",Neg,"28.7																					Cavnar-Johnson																													28.1																					Welborn																													28.9																					Gaither																													28.6																					Morales"
"Washington HM																				Hiatt & Mains","Puget Sound GW																				Griffiths & Willoughby","Wash, Ryan",Aff,"28.9																					Hiatt																													28.8																					Mains																													28.6																					Griffiths																													28.7																					Willoughby"
"Gonzaga BJ																				Blaber & Johnson","Wyoming CH																				Culver & Henman","Souders, Michael",Neg,"28.4																					Blaber																													28.7																					Johnson																													28.5																					Culver																													28.6																					Henman"
"Weber State TW																				Thiede & Wilson","Gonzaga BM																				Basler & McRoberts","Dillard, Kara",Neg,"28.6																					Thiede																													29																					Wilson																													28.5																					Basler																													28.7																					McRoberts"
"Weber State MM																				McPherson & Mounarath","Gonzaga DL																				DeGiovanni & Luther","Bess, Jeff",Neg,"28.5																					McPherson																													28.6																					Mounarath																													28.7																					DeGiovanni																													28.8																					Luther"
"Southwestern CL																				Calles & Leon","Washington BT																				Bellis & Thomas","Steffan, Mike",Neg,"28.4																					Calles																													28.5																					Leon																													28.7																					Bellis																													28.6																					Thomas"
"Minnesota FW																				Ferguson & Wang","Washington EP																				Elizondo & Petrone","Gunn, John",Aff,"28.4																					Ferguson																													28.8																					Wang																													28.6																					Elizondo																													28.2																					Petrone"
"Minnesota DL																				Dharmadhikari & Le","Weber State BR																				Baker & Rawle","Copenhaver, Roger",Aff,"28.8																					Dharmadhikari																													28.6																					Le																													28.7																					Baker																													28.5																					Rawle"
"Minnesota KZ																				Kowal & Zhang","Puget Sound BV																				Bethelmie & Van Alstine","Elias, James",Aff,"28.1																					Kowal																													28.2																					Zhang																													28.6																					Bethelmie																													28.5																					Van Alstine"
