Aff,Neg,Judging,Win,Points/Ranks
"UC Berkeley DW																				Duncan & Wimsatt","Harvard LZ																				Lee & Zheng","Sigalos, Jason",Aff,"28.7																					Duncan																													28.9																					Wimsatt																													28.8																					Lee																													28.6																					Zheng"
"UT San Antonio WW																				Weathersby & Woeppel","Minnesota KW																				Kostelny & Wang","Hingstman, David",Neg,"28.7																					Weathersby																													28.5																					Woeppel																													28.8																					Kostelny																													28.9																					Wang"
"Rutgers-Newark CW																				Carrera & Wyche","Harvard MS																				Midha & Sanjeev","Boor, Kanan",Neg,"29																					Carrera																													29.2																					Wyche																													29.5																					Midha																													29.6																					Sanjeev"
"James Madison CT																				Conroy & Thies","Puget Sound GW																				Griffiths & Willoughby","Baker, Will",Aff,"28.5																					Conroy																													28.4																					Thies																													28.2																					Griffiths																													28																					Willoughby"
"Oklahoma JS																				Juarez & Smith","Liberty GK																				Green & Kathol","Astacio, Carlos",Aff,"29.2																					Juarez																													29.1																					Smith																													28.5																					Green																													28.4																					Kathol"
"Trinity DK																				Dill & Khullar","Michigan ZS																				Zhu & Smith","Repko, William",Aff,"29.1																					Dill																													29																					Khullar																													28.6																					Zhu																													28.8																					Smith"
"Missouri - Kansas City JS																				Jutt & Scott","Texas SW																				Sen & Watts","Garner, Richard",Aff,"28.6																					Jutt																													28.8																					Scott																													28.5																					Sen																													28.7																					Watts"
"Missouri State HM																				Hopkins & Morrison","Louisville WY																				Williams & Yeargin","Scott, Lucia",Neg,"28.8																					Hopkins																													28.7																					Morrison																													29																					Williams																													29.1																					Yeargin"
"Concordia BS																				Boals & Spindler","Wayne State AD																				Anton & Davis","Hiland, Al",Neg,"28.1																					Boals																													28.2																					Spindler																													28.5																					Anton																													28.4																					Davis"
"UC Berkeley DJ																				Devavrat & jameson","Dartmouth XL																				Xiang & Lee","Stevenson, Ron",Neg,"28.9																					Devavrat																													28.7																					jameson																													28.6																					Xiang																													28.8																					Lee"
"UT San Antonio AO																				Alanis & Okolo","Texas SK																				Sun & Khan","Bosch, Emily",Neg,"27.8																					Alanis																													28.1																					Okolo																													28.3																					Sun																													28																					Khan"
"Baylor RW																				Ramsey & Wilson","Georgetown GP																				Gibson & Piliero","Phillips, Scott",Aff,"28.7																					Ramsey																													28.8																					Wilson																													28.5																					Gibson																													28.9																					Piliero"
"Northwestern JW																				Jankovsky & Weideman","Southern California BL																				Berger & Larsen","Cram, Travis",Neg,"28.9																					Jankovsky																													28.7																					Weideman																													29.3																					Berger																													29.1																					Larsen"
"Michigan State GS																				Grossman & Serrins","Emory RW																				Rawal & Wells","Perkins, Dallas",Aff,"28																					Grossman																													28.5																					Serrins																													28.4																					Rawal																													27.9																					Wells"
"Harvard AM																				Asimow & Medrano","Wake Forest EF																				Edwards & Fernandez","Rajan, Rohit",Aff,"29.5																					Asimow																													29.3																					Medrano																													29.4																					Edwards																													29.2																					Fernandez"
"Liberty HS																				Harrington & Samuel","Binghamton AB																				Allan & Buttgereit","Whitley, Kevin",Aff,"28.8																					Harrington																													28.7																					Samuel																													28.6																					Allan																													28.5																					Buttgereit"
"Missouri State DE																				Dickerson & Evans","Michigan State AS																				Adair & Scullion","Manchester, Jack",Aff,"28.5																					Dickerson																													28.6																					Evans																													28.4																					Adair																													28.3																					Scullion"
"James Madison GS																				Gamboa & Sedhai","Southern California DW																				Dille & Walters","Reichle, Matt",Neg,"28.6																					Gamboa																													28.4																					Sedhai																													28.7																					Dille																													28.5																					Walters"
"Dartmouth FT																				Funston & Tambe","Michigan State WJ																				Walkington & Jones","Harris, Scott",Neg,"28.6																					Funston																													28.7																					Tambe																													28.9																					Walkington																													28.8																					Jones"
"Oklahoma PS																				Pickens & Sanchez","Emory CQ																				Cozad & Quashie","Johnson, Willie",Aff,"29.5																					Pickens																													29.1																					Sanchez																													28.9																					Cozad																													29.7																					Quashie"
"Iowa NO																				Namakula & Oberto-Besso","NYU BS																				Booth & Sherman","Joseph, Anthony",Aff,"29																					Namakula																													28.7																					Oberto-Besso																													28.6																					Booth																													28.5																					Sherman"
"UNLV AK																				Aguilar & Kezios","Kansas KR																				Katz & Robinson","Ard, Marquis",Neg,"29.5																					Aguilar																													29.4																					Kezios																													29.3																					Katz																													29.6																					Robinson"
"Kansas RF																				Ross & Fitzpatrick","Harvard GS																				Gordon & Slavinsky","Steiner, Rebecca",Neg,"28.6																					Ross																													28.5																					Fitzpatrick																													28.8																					Gordon																													28.7																					Slavinsky"
"Kansas DS																				Delph & Sosalla-Bahr","Wake Forest HV																				Harper & Van Schenck","Dillard-Knox, Tiffany",Neg,"28.9																					Delph																													28																					Sosalla-Bahr																													28.8																					Harper																													29																					Van Schenck"
"Wyoming CH																				Culver & Henman","Binghamton YM																				Yan & Montero","Murphy, Devane",Neg,"28.7																					Culver																													28.6																					Henman																													29																					Yan																													29.4																					Montero"
"Kansas BH																				Bajwa & Henry","Georgia HH																				Hoover & Haskins","Cram Helwich, David",Neg,"28.6																					Bajwa																													28.5																					Henry																													28.7																					Hoover																													28.8																					Haskins"
"Kentucky RH																				Rivas & Hackman","UC Berkeley FG																				Fleming & Gray","Solice, Maggie",Neg,"28.7																					Rivas																													28.8																					Hackman																													28.9																					Fleming																													29																					Gray"
"Emory DP																				Demers & Phillips","Minnesota AL																				Asirvatham & Leburu","Hirn, Kevin",Neg,"29.1																					Demers																													29																					Phillips																													29.2																					Asirvatham																													28.9																					Leburu"
"Georgia RS																				Rice & Stupek","Southern California RW																				Rosenthal & Wang","Justice, Jacob",Neg,"28.9																					Rice																													28.7																					Stupek																													28.8																					Rosenthal																													29																					Wang"
"Kansas FM																				Fry & Massa","James Madison KW																				Konrad & Wardak","Miller, Nicholas",Neg,"28.6																					Fry																													28.8																					Massa																													28.9																					Konrad																													28.7																					Wardak"
"Iowa GL																				Gustavson & Liriano","Kansas BW																				Bastian & Woodcock","Bunas, Shae",Aff,"28.8																					Gustavson																													28.9																					Liriano																													28.6																					Bastian																													28.7																					Woodcock"
"Emory MM																				Marcus & Morbeck","Liberty OT																				Omala & Thomas","Kennedy, Sean",Neg,"28.8																					Marcus																													28.6																					Morbeck																													28.9																					Omala																													28.7																					Thomas"
"Wake Forest MR																				Mitchell & Reddy","Emory SY																				Shaikh & Yamout","Michael, Joshua",Neg,"29.3																					Mitchell																													29.5																					Reddy																													29.6																					Shaikh																													29.4																					Yamout"
"Michigan VL																				Vance & Love","West Georgia CJ																				Charles & Jordan","montee, andy",Neg,"28.3																					Vance																													28.2																					Love																													28.7																					Charles																													28.8																					Jordan"
"Michigan State BP																				Brown & Pepper","Kansas HM																				Hegna & Martin","Buntin, Jeff",Neg,"28.6																					Brown																													28.5																					Pepper																													29.1																					Hegna																													29																					Martin"
"Central Oklahoma HS																				Hilligoss & Stidham","UC Berkeley NR																				Neelakandan & Ramesh","McBride, Brian",Aff,"29																					Hilligoss																													29.2																					Stidham																													28.9																					Neelakandan																													28.8																					Ramesh"
"Southern California DR																				Dasaraju & Robertson","Georgia State CC																				Caudill & Croitoru","Bankey, Brendon",Aff,"28.6																					Dasaraju																													28.5																					Robertson																													27.8																					Caudill																													28.4																					Croitoru"
"Kentucky TB																				Trufanov & Bannister","Wake Forest AW																				Athanasopoulos & Williams","Meloche, Brad",Aff,"29.7																					Trufanov																													29.5																					Bannister																													29.6																					Athanasopoulos																													29.2																					Williams"
"Houston LN																				Love & Navarrete","Wayne State CH																				Curtiss & Husic","Brennan, Eli",Neg,"28.5																					Love																													28.3																					Navarrete																						-1						Curtiss																							-1					Husic"
"Texas CA																				Cupo & Ambrose","James Madison CH																				Cerja & Harris","Carroll, Darrian",Aff,"28.6																					Cupo																													28.8																					Ambrose																													29.1																					Cerja																													28.5																					Harris"
"Dartmouth EM																				Estrada & McCallum","Harvard RS																				Raghavan & Schnall","Weil, Stephen",Neg,"28.6																					Estrada																													28.3																					McCallum																													28.5																					Raghavan																													28.4																					Schnall"
"Pittsburgh FK																				Ferolie & Ku","Emory BS																				Burgess & Silber","Kelley, Brandon",Neg,"28.8																					Ferolie																													28.7																					Ku																													29.1																					Burgess																													29.2																					Silber"
"NYU JL																				Johnwell & Lloyd","Houston PS																				Polkinghorne & Spiehler","Crossan, Ben",Aff,"28.3																					Johnwell																													28.4																					Lloyd																													28.2																					Polkinghorne																													28.1																					Spiehler"
"NYU RS																				Raveneau & Szczechowski","Michigan JP																				Jacobs & Pujol","Gerber, Matt",Neg,"29.4																					Raveneau																													29.2																					Szczechowski																													29.3																					Jacobs																													29.1																					Pujol"
"Wyoming LT																				Lamb & Talamantes","Rutgers-Newark AQ																				Asafu-Adjaye & Quiroz","Dhillon, Kiran",Neg,"28.1																					Lamb																													28.2																					Talamantes																													28.4																					Asafu-Adjaye																													28.7																					Quiroz"
"Arizona State CR																				Chowdhury & Ram","Georgetown SW																				Salunga & Won","Bhattacharjee, Risha",Neg,"28.5																					Chowdhury																													28.4																					Ram																													28.7																					Salunga																													28.6																					Won"
"Pittsburgh BR																				Brahin & Ramanna","Wake Forest GT																				Gidley & Tomasi","Mathis, Erik",Neg,"28.6																					Brahin																													28.7																					Ramanna																													28.5																					Gidley																													28.9																					Tomasi"
"UNLV GH																				Gomez & Horn","Emory FG																				Forman & Gazmararian","Wunderlich, Carly",Neg,"29.5																					Gomez																													29.3																					Horn																													29.4																					Forman																													29.2																					Gazmararian"
"Georgetown BK																				Bernstein & Knez","Northwestern CE																				Callahan & Esman","Petersen, Mathew",Neg,"28.9																					Bernstein																													29.3																					Knez																													29.4																					Callahan																													29.2																					Esman"
"Kansas ES																				Esquivel-Yglesias & Schrag","Missouri - Kansas City HM																				Hauschildt & Mitchell","Lowe, Kristen",Aff,"28.9																					Esquivel-Yglesias																													28.5																					Schrag																													28.6																					Hauschildt																													28.4																					Mitchell"
"Baylor CW																				Conner & Walberg","Harvard BC																				Bates & Cooper","Meyers-Levy, Dustin",Neg,"29																					Conner																													28.7																					Walberg																													29.1																					Bates																													29.4																					Cooper"
