Aff,Neg,Judging,Win,Points/Ranks
"Kansas BH																				Bajwa & Henry","Missouri - Kansas City KH																				Kroger & Hauschildt","Ogbuli, Anthony",Neg,"28.4																					Bajwa																													28.2																					Henry																													28																					Kroger																													28.8																					Hauschildt"
"Wyoming CH																				Culver & Henman","UT Dallas GB																				Gilbert & Baez","Moore, Matthew",Aff,"28.5																					Culver																													28.9																					Henman																													28.8																					Gilbert																													28.6																					Baez"
"Kansas TW																				Thomas & Woodcock","Florida KG																				Kizito & Gonzalez","Pearson, Kristin",Aff,"28.5																					Thomas																													28.4																					Woodcock																													28.3																					Kizito																													28.2																					Gonzalez"
"Missouri State DE																				Dickerson & Evans","Florida SC																				Scolaro & Callaghan","Eisenstadt, Michael",Neg,"28.3																					Dickerson																													28.4																					Evans																													28.5																					Scolaro																													28.6																					Callaghan"
"Missouri State HM																				Hopkins & Morrison","Central Oklahoma MB																				Moore & Brenneman","Munday, Matt",Neg,"28																					Hopkins																													28.2																					Morrison																													28.3																					Moore																													27.9																					Brenneman"
"Kansas ES																				Esquivel-Yglesias & Schrag","Houston PS																				Polkinghorne & Spiehler","Loehr, Jacob",Aff,"28.9																					Esquivel-Yglesias																													29																					Schrag																													28.7																					Polkinghorne																													28.5																					Spiehler"
"Kansas FR																				Fitzpatrick & Ross","Concordia BS																				Boals & Spindler","Brower, Brenden",Aff,"28.7																					Fitzpatrick																													28.8																					Ross																													28.6																					Boals																													28.9																					Spindler"
"NYU RS																				Raveneau & Szczechowski","Johnson County Community NR																				Niermann & Ruder","Jackson, Jalisa",Aff,"28.9																					Raveneau																													28.7																					Szczechowski																													28.5																					Niermann																													28.1																					Ruder"
"Missouri State SW																				Smith & Wicks","NYU BS																				Booth & Sherman","McFarland, Hunter",Neg,"28.3																					Smith																													28.6																					Wicks																													28.5																					Booth																													28.7																					Sherman"
"Johnson County Community MS																				Moncure & Swanson","Missouri - Kansas City JS																				Jutt & Scott","Bosch, Emily",Neg,"28.5																					Moncure																													28.3																					Swanson																													28.8																					Jutt																													29																					Scott"
"Kansas SD																				Sosalla-Bahr & Delph","Central Oklahoma CC																				Colen & Cauley","Baker, Will",Neg,"28.8																					Sosalla-Bahr																													28.6																					Delph																													28.7																					Colen																													29.2																					Cauley"
"Wyoming LT																				Lamb & Talamantes","Houston JW																				Johnson & Williams","Harris, Scott",Aff,"28.6																					Lamb																													28.5																					Talamantes																													28.3																					Johnson																													28.4																					Williams"
"Kansas FM																				Fry & Massa","Missouri - Kansas City SW																				Schartz & Willett","Cram, Travis",Aff,"28.6																					Fry																													28.4																					Massa																													28.3																					Schartz																													28.5																					Willett"
