Aff,Neg,Judging,Win
"UC Berkeley FG																				Fleming & Gray","Wake Forest AD																				Athanasopoulos & Dean","Bunas, Shae																													Chowdhury, Amrut																													Dhillon, Kiran																													Fisher, Corey																													Rubaie, Brian","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Nevada Las Vegas GH																				Gomez & Horn","Indiana AG																				Aaronson & Gallina","Kall, Aaron																													Mosley-Jensen, William																													Roark, Collin																													Thur, Tyler																													Wunderlich, Carly","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Trinity DK																				Dill & Khullar","Kentucky AN																				Adam & Noparstak","Gliniecki, Tom																													Hardy, Aaron																													Herndon, James																													Kelley, Brandon																													Repko, William","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Northwestern JW																				Jankovsky & Weideman","Iowa GL																				Gustavson & Liriano","Brennan, Eli																													Lepp, Nick																													Ogbuli, Anthony																													Turner, John																													Whitley, Kevin","Neg																																																		Neg																																																									Aff																																																		Aff																																																		Aff"
"Nevada Las Vegas AK																				Aguilar & Kezios","Kentucky BT																				Bannister & Trufanov","Baez, Kristiana																													Harris, Scott																													Morgan, Will																													Rothenbaum, Nathan																													Starks, LaTonya","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Louisville YW																				Yeargin & Williams","Georgia RS																				Rice & Stupek","Butt, Neil																													Harper, Allison																													Michael, Joshua																													Stevenson, Ron																													Vint, Kyle","Neg																																																		Neg																																																		Neg																																																		Neg																																																									Aff"
"Wake Forest EF																				Edwards & Fernandez","Harvard AM																				Asimow & Medrano","Allsup, Andrew																													Boor, Kanan																													Regnier, Jason																													Ridley, Sean																													Varda, Scott","Aff																																																		Aff																																											Neg																																																									Aff																																											Neg"
"Georgetown BK																				Bernstein & Knez","Emory DP																				Demers & Phillips","Bennie, Natalie																													Crossan, Ben																													Gerber, Matt																													Shook, Lindsey																													Steiner, Rebecca","Aff																																											Neg																																																									Aff																																																		Aff																																																		Aff"
"Kansas KR																				Katz & Robinson","Binghamton AB																				Allan & Buttgereit","Brough, Taylor																													Hagwood, Ben																													Kelsie, Amber																													montee, andy																													Myers, Andrew","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Kansas HM																				Hegna & Martin","Harvard MS																				Midha & Sanjeev","Arnett, David																													Buntin, Jeff																													Galloway, Ryan																													Harrigan, Casey																													Watson, Hays","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Wake Forest MR																				Mitchell & Reddy","Baylor RW																				Ramsey & Wilson","Antonucci, Michael																													Bhattacharjee, Risha																													Clarke, Kevin																													McBride, Brian																													Reichle, Matt","Aff																																											Neg																																																									Aff																																											Neg																																																									Aff"
"Georgia AR																				Agrawal & Ramanan","Central Oklahoma HS																				Hilligoss & Stidham","Bankey, Brendon																													Feldman, Jonah																													Munday, Matt																													Saiedian, Ideen																													Vargason, Ava","Aff																																																																							Neg																													Aff																																																		Aff																																																																							Neg"
"Oklahoma PS																				Pickens & Sanchez","Texas BP																				Bleiweiss & Pabst","Cherry, Kaine																													Maurer, Samuel																													Rebrovick, Tripp																													Reid-Brinkley, Shanara																													Snelling, Tyler","Aff																																																		Aff																																																		Aff																																																		Aff																																											Neg"
"Iowa CK																				Christophersen & Kimbrough","Southern California BL																				Berger & Larsen","Evans, Ignacio																													Hussein, Nadia																													Joseph, Anthony																													Marty, Jillian																													Weddington, Tommye","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Oklahoma JS																				Juarez & Smith","Northwestern CE																				Callahan & Esman","Lastovica, Kyle																													Miller, Nicholas																													Smale, Bee																													Stanfield, Daniel																													Strong, Margaret","Neg																																																		Neg																																																									Aff																																											Neg																																																		Neg"
"Baylor BZ																				Barron & Zoda","Emory FG																				Forman & Gazmararian","Garrett, Lincoln																													Hirn, Kevin																													Lundeen, Geoff																													Meyers-Levy, Dustin																													Schauer, Courtney","Aff																																																																							Neg																																																		Neg																																																		Neg																													Aff"
