Aff,Neg,Judging,Win
CSUF ZZ																				Moore & Stolarski,Oklaho CL																		Campbell & Lee,"Evans, Rashad																													Ewing, Jack																													Montee, Andy",Neg																																																		Neg																																																		Neg
UNT ZZ																				McCullough & Quinn,MisSta GN																				Gilmore & Nichols,"Box, Brian																													Bricker, Brett																													Munday, Matt",Neg																													Aff																																																		Aff
Texas FS																				Fitz & Stolte,WicSta DS																				Donnell & Sullivan,"Fifelski, Kurt																													Moore, Matthew																													Taylor, James",Neg																																																									Aff																																																		Aff
Oklaho LM																				Leonardi & Masterson,Minnes SS																				Sadagopal & Schauer,"Antonucci, Michael																													Cram, Travis																													Shook, Lindsey",Aff																																																		Aff																																																		Aff
Towson WH																				Whitley & Herrera,UDC-CC BS																				Bertram & Sommers,"Quigley, Dylan																													Russell, Jason																													Watts, Nick",Aff																																																		Aff																																																		Aff
WakFor DL																				Duff & Langr,Harvard BN																				Banks & Neustadt,"Crowe, Chris																													Hester, Mike																													Jordan, Todd",Neg																													Aff																																																		Aff
Kansas CG																				Campbell & Gress,UNLV ZZ																				Bato & Velto,"Petit, Louie																													Stone, Corey																													Zendeh, Alex",Aff																																																		Aff																																																		Aff
ISU ZZ																				Ivanovic & Copenhaver,Wyoming ZZ																				Marcum & Pauli,"Beier, Ian																													Murillo, Gabe																													Symonds, Adam",Neg																																																		Neg																																																		Neg
UWG ZZ																				Davis & Feliciano,PugSou MS																				McGougan & Stevenson,"Elliott, Darren																													Odekirk, Scott																													Schultz, James",Aff																																																		Aff																																																		Aff
ASU RV																				Rajan & Vered,Harvard HT																				Herman & Tandet,"Allen, Sam																													Stables, Gordon																													Woodruff, Austin",Neg																																																		Neg																																																		Neg
CSUF ZZ																				Bugrov & Thach,MisSta BR																				Bess & Rumbaugh,"Lundeen, Geoff																													Maurer, Samuel																													Winfrey, Kelly",Aff																																																																							Neg																													Aff
JamMad BL																				Brass & Lepp,Wyoming ZZ																				Berry & Fanning,"Baker, Andrew																													Harris, Scott																													Osborn, Martin",Aff																																																		Aff																																											Neg
WakFor CW																				Crowe & Washington,Louisville ZZ																				Vincent & Weathers,"Massey, Jackie																													Reynolds, Caitlin																													Zisman, Ruth",Aff																																																		Aff																																																		Aff
UT-Ant NS																				Nerison & Stroud,Whitman ZZ																				Barsky & Menzies,"Eisenstadt, Michael																													Samuels, Phil																													Thompson, Jacob",Aff																																																		Aff																																																		Aff
EmpSta SW																				Smith & Wash,WebSta OS																				Olson & Sharif,"Grandpre, Lawrence																													Stout, Daniel																													Weitz, Mike",Aff																																																		Aff																																																		Aff
KanSta KM																				Klucas & Mays,Oklaho BC																				Baker & Cherry,"Blumenthal, Jordan																													Kennedy, Patrick																													Pasquinelli, Sydney",Neg																																																		Neg																																																		Neg
