Aff,Neg,Judging,Win,Points/Ranks
"Western Connecticut State AE																				Adams & Escoffery","Wyoming FT																				Frame & Thomson-Lichty","Copenhaver, Roger",Aff,"28.3																					Adams																													28.4																					Escoffery																													28.2																					Frame																													28.1																					Thomson-Lichty"
"Arizona State CR																				Chotras & Rajan","Wayne State NW																				Nagel & Wirth","Slattery, Sean",Aff,"28.7																					Chotras																													28.5																					Rajan																													28.6																					Nagel																													28.4																					Wirth"
"United States Military MR																				Morrow & Reed","Kansas State JS																				Jackson & Stebbins","Mader, Susan",Aff,"27.5																					Morrow																													27.4																					Reed																													28.7																					Jackson																													27.3																					Stebbins"
"Texas KS																				Kilpatrick & Stransky","Liberty KP																				Kotlan & Paumen","Kennedy, Sean",Aff,"28.6																					Kilpatrick																													28.7																					Stransky																													28.1																					Kotlan																													28																					Paumen"
"Michigan MM																				Morgan & Meyers-Levy","Augustana College RT																				Ramos & Thakkar","Hiland, Al",Aff,"29.4																					Meyers-Levy																													29.2																					Morgan																													28																					Ramos																												Thakkar"
"Harvard KS																				Kim & Seaton","Kansas City Kansas CC FG																				Ford & Glanzman","Miller, Gordie",Neg,"28.4																					Kim																													28.2																					Seaton																													28.5																					Ford																													28.3																					Glanzman"
"James Madison GP																				Glomb & Panetti","Kansas OP																				Owen & Peck","Bugrov, Max",Neg,"28.5																					Glomb																													28.6																					Panetti																													28.7																					Owen																													28.8																					Peck"
"Missouri - Kansas City AF																				Ajisafe & Fisher","Towson JR																				Johnson & Ruffin","Johnson, Willie",Neg,"29																					Ajisafe																													28.5																					Aaron																													29.1																					Johnson																													29.5																					Ruffin"
"NYU IH																				Helmreich & Itliong","Wichita State DS																				Donnell & Sullivan","Scher, Adam",Neg,"27.9																					Itliong																													27.8																					Helmreich																													28.1																					Donnell																													28																					Sullivan"
"Liberty CE																				Chiri & Edwards","Minnesota ZS																				Zhang & Shevik","Thach, Lee",Aff,"28.4																					Chiri																													28.5																					Edwards																													28.6																					Zhang																													28.3																					Shevik"
"Liberty CS																				Calizo & Schiess","Wake Forest CL																				Cronin & Lopez","Mendenhall, Beth",Neg,"28																					Calizo																													27.9																					Schiess																													28.4																					Cronin																													28.2																					Lopez"
"Houston BA																				Beane & Alexander","Liberty JW																				Weld & Jackson","Williams, Abi",Aff,"28.4																					Beane																													28.3																					Alexander																													27.8																					Jackson																													27.9																					Weld"
"Kansas State KM																				Klucas & Mays","Michigan KK																				Keller & Keenan","Box, Brian",Aff,"28.7																					Klucas																													28.8																					Mays																													28.4																					Keller																													28.3																					Keenan"
"Michigan CB																				Chappell & Batra","Kansas MB																				Miller & Bevens","Reed, Joel",Neg,"28.4																					Chappell																													28.5																					Batra																													28.6																					Miller																													28.7																					Bevens"
"Binghamton RS																				Reddick & Sehgal","James Madison BP																				Bosley & Perez","Turnage, Joshua",Neg,"28.8																					Reddick																													28.6																					Sehgal																													28.9																					Bosley																													28.7																					Perez"
"NYU KC																				Knight & Cammayo","Oklahoma RY																				Robbins & Yahom","Martel, Alex",Neg,"27.3																					Knight																													27.4																					Cammayo																													28.6																					Robbins																													28.7																					Yahom"
"Kansas HR																				Hampton & Reed","Lindenwood NW																				Nave & Wingo","Allen, Ben",Aff,"28.7																					Hampton																													28																					Reed																													28.5																					Nave																													28.3																					Wingo"
"Arizona State WM																				Morrow & Wheeler","United States Military LS																				Lipksy & Stevens","Abelkop, Adam",Neg,"27.7																					Wheeler																													27.9																					Morrow																													28.3																					Lipksy																													28.4																					Stevens"
"Pittsburgh BW																				Budny & Woodford","Missouri State CH																				Cole & Hackett","Haynal, Kaitlyn",Neg,"28.3																					Denison																													28.4																					Woodford																													28.5																					Cole																													28.6																					Hackett"
