Aff,Neg,Judging,Win,Points/Ranks,Ranks
"Kentucky AM																				Adam & Martin","George Mason TM																				Melton & Thomas","Hall, Michael",Aff,"3											28.6																					Adam																																								 1											28.8																					Martin																																								 4											28.5																					Thomas																																								 2											28.7																					Melton",
"Georgia BR																				Boyce & Rice","Liberty BC																				Byram & Chiri","Hall, Sherry",Neg,"4											28.8																					Boyce																																								 3											28.9																					Rice																																								 2											29																					Byram																																								 1											29.1																					Chiri",
"Mary Washington CW																				Coon & Wimberly","Missouri State BR																				Brower-Freeman & Russo","Hall, Heather",Neg,"3											28.3																					Coon																																								 4											28.2																					Wimberly																																								 2											28.5																					Brower																																								 1											28.8																					Russo",
"Emory KG																				Karthikeyan & Gazmararian","UT Dallas LO																				Loehr & Ogbuli","Taylor, Terrell",Aff,"1											29.3																					Karthikeyan																																								 2											29.2																					Gazmararian																																								 4											28.2																					Loehr																																								 3											28.4																					Ogbuli",
"Liberty SC																				Crenshaw & Samuel","Kentucky BR																				Baller & Rivas","Benedict, Brendan",Neg,"4											28.2																					Samuel																																								 3											28.3																					Crenshaw																																								 2											28.4																					Baller																																								 1											28.5																					Rivas",
"Minnesota AK																				Asirvatham & Kostelny","Emory DM																				Dean & Marcus","Buntin, Jeff",Aff,"3											28.2																					Asirvatham																																								 4											28.1																					Kostelny																																								 1											28.9																					Dean																																								 2											28.5																					Marcus",
"Georgia WH																				Henderson & White","Georgetown MS																				Mills & Shepherd","Reed, Andrea",Neg,"3											28.6																					White																																								 4											28.5																					Henderson																																								 2											28.7																					Mills																																								 1											28.8																					Shepherd",
"Liberty JR																				Jackson & Robillard","Mary Washington LS																				Lewis & Stackhouse","Weddington, Tommye",Aff,"1											28.4																					Jackson																																								 2											28.3																					Robillard																																								 3											28																					Lewis																																								 4											27.9																					Stackhouse",
"Wake Forest GT																				Gidley & Tomasi","George Mason BO																				Brown & Oliver","Weil, Stephen",Aff,"4											28.5																					Gidley																																								 1											28.8																					Tomasi																																								 2											28.7																					Brown																																								 3											28.6																					Oliver",
"Missouri State HW																				Hamaker & Wicks","Minnesota TB																				Baubonis & Tauring-Traxler","Decker, Warren",Aff,"1											28.4																					Hamaker																																								 3											28.1																					Wicks																																								 2											28.2																					Tauring-Traxler																																								 4											27.8																					Baubonis",
"Liberty CS																				Crane & Schiess","Harvard HS																				Herman & Sanjeev","Corrigan, Abraham",Neg,"4											28.8																					Crane																																								 3											28.9																					Schiess																																								 2											29.4																					Herman																																								 1											29.5																					Sanjeev",
"Northwestern EM																				Esman & McCarty","Emory FL																				Forman & Lowe","Herndon, Scott",Neg,"4											29.1																					Esman																																								 3											29.3																					McCarty																																								 2											29.4																					Forman																																								 1											29.5																					Lowe",
"George Mason KK																				Kaye & Kwon","UT Dallas BJ																				Becker & Johnson","Perkins, Dallas",Aff,"1											28.8																					Kaye																																								 2											28.6																					Kwon																																								 4											27.8																					Becker																																								 3											27.9																					Johnson",
"Georgia RS																				Ramanan & Stupek","Wake Forest CH																				Clifford & Hurwitz","Herndon, James",Aff,"1											29.2																					Ramanan																																								 3											29																					Stupek																																								 2											29.1																					Clifford																																								 4											28.9																					Hurwitz",
