Aff,Neg,Judging,Win
"Cal State Fullerton DG																				Delgado & Gonzalez","Vermont LB																				Brough & Lee","Astacio, Carlos																													Johnson, Willie																													Thomas, Troi","Neg																																																		Neg																																																		Neg"
"Michigan State TS																				Strong & Thur","Indiana HS																				Hoffman & Smale","Souders, Michael																													Suo, Michael																													Varda, Scott","Aff																																																		Aff																																																		Aff"
"Southern California SS																				Saiedian & Sharma","UT Dallas OL																				Loehr & Ogbuli","Crunkilton, Cody																													Paul, Jonathan																													Repko, William","Aff																																											Neg																																																									Aff"
"Harvard HS																				Herman & Sanjeev","Texas CS																				Chowdhury & Segura","Green, Justin																													Hirn, Kevin																													Weil, Stephen","Aff																																																		Aff																																																		Aff"
"Georgetown KL																				Knez & Louvis","Oklahoma CS																				Chiles & Sanchez","Gerber, Matt																													Kennedy, Patrick																													Steiner, Rebecca","Aff																																																		Aff																																																		Aff"
"UC Berkeley MS																				Muppalla & Spurlock","Georgetown KK																				Kazteridis & Krishnan","Buntin, Jeff																													Justice, Jacob																													Mosley-Jensen, William","Aff																																																		Aff																																																		Aff"
"UC Berkeley SW																				Sergent-Leventhal & Wimsatt","Kentucky GV																				Geldof & Vargason","Campbell, Melanie																													Harrigan, Casey																													Struth, Matt","Aff																																																		Aff																																																		Aff"
"Texas KS																				Kilpatrick & Stransky","Southern California BL																				Berger & Larsen","Baez, Kristiana																													Green, LaToya																													Reid-Brinkley, Shanara","Aff																																																																							Neg																													Aff"
"Baylor BZ																				Boor & Zoda","Liberty BC																				Byram & Chiri","Cherry, Kaine																													Hampton, Jyleesa																													Snelling, Tyler","Neg																																																		Neg																																																									Aff"
"Nevada Las Vegas BK																				Brooks & Kezios","Michigan KM																				Krakoff & Morgan","McBride, Brian																													Paone, Ralph																													Reddick, Trevor","Neg																																																		Neg																																																		Neg"
"Weber State GT																				Gaither & Tippets","Wake Forest AS																				Athanasopoulos & Sugino","Albiniak, Teddy																													Bolman, Brad																													Eisenstadt, Michael","Neg																																																		Neg																																																		Neg"
"Rutgers-Newark HQ																				Haughton & Quiroz","Trinity RS																				Rothenbaum & Solice","Kennedy, Sean																													Samuels, Phil																													Watts, Nick","Neg																																																		Neg																																																		Neg"
"Kansas State PR																				Pena & Ramirez","Northwestern MO																				McCarty & O'Brien","Poapst, Jackie																													Quigley, Dylan																													Stanfield, Daniel","Neg																																																		Neg																																																		Neg"
"Harvard BD																				Banks & Drecker-Waxman","Kansas BR																				Bell & Robinson","Hagwood, Ben																													Malsin, Mikaela																													Shook, Lindsey","Neg																																																		Neg																																																		Neg"
"Emory KS																				Karthikeyan & Sigalos","Kansas BhCa																				Bhatla & Carey","Cram, Travis																													Ehrlich, Miranda																													Miles, Alex","Aff																																																		Aff																																																		Aff"
"Northwestern CE																				Callahan & Esman","Rutgers-Newark NM																				Murphy & Nave","Antonucci, Michael																													Chase, Allie																													Russell, Bill","Neg																																																		Neg																																																		Neg"
