Aff,Neg,Judging,Win
"Michigan MK																				Morgan & Krakoff","Northwestern CW																				Clarke & Waxman","Holguin, Alex																													Kuswa, Kevin																													Leader, Paul																													Pasquinelli, Sydney																													Samuels, Phil","Aff																																											Neg																																																									Aff																																																		Aff																																																		Aff"
"Kansas BC																				Bhatla & Carey","Wake Forest AS																				Athanasopoulos & Sugino","Antonucci, Michael																													Hirn, Kevin																													Kelsie, Amber																													Taylor, James																													Weil, Stephen","Neg																																																		Neg																													Aff																																																																							Neg																																																		Neg"
"Kentucky GV																				Geldof & Vargason","Harvard BD																				Banks & Drecker-Waxman","Bobbitt, Mary																													Bricker, Brett																													DeLong, Brian																													Harris, Scott																													Vint, Kyle","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Georgetown KL																				Knez & Louvis","Michigan PW																				Pasquinelli & Walrath","Gramzinski, Logan																													Green, Justin																													Hester, Michael																													Malsin, Mikaela																													Roark, Collin","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Kansas FK																				Foreman & Khatri","United States Military BC																				Barlow & Caston","Awsare, Shree																													Evans, Brandon																													Fifelski, Kurt																													Ryan, Nick																													Strauss, David","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Kansas Co																				Birzer & Cook","Emory FL																				Forman & Lewis","Brovero, Adrienne																													Hall, Michael																													Lastovica, Kyle																													McCleary, Patrick																													Watson, Hays","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Georgetown KK																				Kazteridis & Krishnan","Kentucky HR																				Hampton & Roman","Frappier, Glen																													Kall, Aaron																													Lundeen, Sarah																													Susko, Peter																													Waldinger, Patrick","Aff																																																		Aff																																																		Aff																																																		Aff																																											Neg"
"Northwestern OM																				O'Brien & McCarty","Vermont BL																				Brough & Lee","Bankey, Brendon																													Lundeen, Geoff																													Najor, Bruce																													Quigley, Dylan																													Steiner, Rebecca","Neg																													Aff																																																		Aff																																																		Aff																																																		Aff"
"West Georgia MS																				Muhammad & Sharif","Dartmouth College BA																				Belhachmi & Anderson","Dillard-Knox, Tiffany																													Hagwood, Ben																													Langr, Maddie																													Reed, J.V.																													Smith, Elijah","Aff																																																																							Neg																																																		Neg																													Aff																																																		Aff"
"Minnesota KW																				Kamboj & Witaszek","Emory KS																				Karthikeyan & Sigalos","Garrett, Lincoln																													Kann, Sharon																													Poapst, Jackie																													Shook, Lindsey																													Woodruff, Austin","Neg																																																		Neg																																																		Neg																																																		Neg																																																		Neg"
"Wake Forest CH																				Clifford & Hurwitz","Northwestern CE																				Callahan & Esman","Arnett, David																													Campbell, Melanie																													Paul, Jonathan																													Petersen, Mathew																													Turner, John","Neg																																																		Neg																																																		Neg																																																		Neg																																																									Aff"
"UT Dallas OL																				Ogbuli & Loehr","Wake Forest MS																				Mitchell & Shaw","Hardy, Aaron																													Petit, Louie																													Repko, William																													Russell, Bill																													Wunderlich, Carly","Neg																																																		Neg																																																									Aff																																											Neg																																																		Neg"
"Michigan State TS																				Thur & Strong","Liberty BC																				Byram & Chiri","Atchison, Jarrod																													Gonzalez, Joshua																													Hall, Sherry																													Hall, Emily																													Mosley-Jensen, William","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
"Michigan DM																				Donovan & Meyers-Levy","Kentucky GN																				Grasse & Noparstak","Buntin, Jeff																													Butt, Neil																													Gliniecki, Tom																													Herndon, James																													Markoff, Andrew","Neg																																																		Neg																																																		Neg																																																		Neg																																																									Aff"
"Northwestern KL																				Kohli & Lim","Emory KL																				Klarman & Lowe","Cram Helwich, David																													Gannon, Seth																													Hall, Heather																													Kennedy, Patrick																													Strange, Ken","Aff																																																		Aff																																																																							Neg																																																		Neg																													Aff"
"Harvard HS																				Herman & Sanjeev","Michigan State MW																				Munsinger & Walkington","Brass, Oliver																													Cram, Travis																													Justice, Jacob																													Reed, Andrea																													Walters, Heather","Aff																																																		Aff																																																		Aff																																																		Aff																																																		Aff"
