Aff,Neg,Judging,Win,Points/Ranks,Ranks
"Oklahoma SP																				Sebunya & Plange","Michigan KM																				Krakoff & Morgan","Bhattacharjee, Risha",Neg,"4											28.5																					Sebunya																																								 3											28.7																					Plange																																								 1											29.1																					Krakoff																																								 2											28.9																					Morgan",
"Cal State Fullerton DG																				Delgado & Gonzalez","Georgetown KL																				Knez & Louvis","Bricker, Brett",Neg,"4											28.5																					Delgado																																								 3											28.6																					Gonzalez																																								 2											28.8																					Knez																																								 1											28.9																					Louvis",
"Emory DF																				Dean & Fiero","Cornell LT																				Luciani & Tilmes","Campbell, Melanie",Aff,"2											28.2																					Dean																																								 1											28.3																					Fiero																																								 4											28																					Luciani																																								 3											28.1																					Tilmes",
"Iowa OS																				Oberto-Besso & Shearer","Oklahoma RS																				Smith & Reinking","Dunn, Izak",Neg,"4											28.2																					Oberto-Besso																																								 2											28.4																					Shearer																																								 1											28.5																					Reinking																																								 3											28.3																					Smith",
"Liberty BC																				Byram & Chiri","Iowa KL																				Kimbrough & Liriano","Cherry, Kaine",Neg,"4											28																					Byram																																								 3											29																					Chiri																																								 1											29.3																					Kimbrough																																								 2											29.2																					Liriano",
"Georgetown MS																				Mills & Shepherd","Emory KS																				Karthikeyan & Sigalos","McCleary, Patrick",Neg,"4											28.5																					Mills																																								 3											28.6																					Shepherd																																								 2											28.9																					Karthikeyan																																								 1											29																					Sigalos",
"Northwestern CE																				Callahan & Esman","Cornell KR																				Knight & Rooney","Russell, Bill",Aff,"2											28.5																					Callahan																																								 1											28.6																					Esman																																								 4											28.3																					Knight																																								 3											28.4																					Rooney",
"UC Berkeley GG																				Greenbury & Gruber","Georgia WS																				White & Stupek","Steiner, Rebecca",Aff,"1											28.3																					Greenbury																																								 4											28																					Gruber																																								 3											28.1																					White																																								 2											28.2																					Stupek",
"Michigan MD																				Meyers-Levy & Donovan","Missouri State GG																				Gillespie & Grosch","Ryan, Nick",Aff,"2											28.4																					Meyers-Levy																																								 1											28.5																					Donovan																																								 3											28.2																					Grosch																																								 4											28.1																					Gillespie",
"Kansas Ca																				Bhatla & Carey","UC Berkeley MS																				Muppalla & Spurlock","Buntin, Jeff",Neg,"4											28.5																					Bhatla																																								 3											28.6																					Carey																																								 2											28.7																					Muppalla																																								 1											28.9																					Spurlock",
"Nevada Las Vegas AO																				Aguilar & Ogata","Minnesota KL																				Klish & Leburu","Gannon, Seth",Aff,"3											28.3																					Aguilar																																								 2											28.4																					Ogata																																								 1											28.5																					Klish																																								 4											28.2																					Leburu",
"Kansas HW																				Hegna & Walter","Capital CL																				Council & Lawson","Munday, Matt",Aff,"1											28.7																					Hegna																																								 2											28.5																					Walter																																								 4											28.1																					Council																																								 3											28.2																					Lawson",
