Aff,Neg,Judging,Win,Points/Ranks
"George Mason BO																				Brown & Oliver","Cornell RK																				Rooney & Knight","Leeson-Schatz, Joe",Neg,"29.8																					Brown																													27.8																					Oliver																													28.5																					Rooney																													28.4																					Knight"
"George Mason MT																				Mohney & Thomas","James Madison CP																				Conroy & Perez","Keenan, V",Aff,"28.6																					Mohney																													28.5																					Thomas																													28.2																					Conroy																													28.3																					Perez"
"George Mason GM																				Ghanem & Melton","Liberty JW																				Jackson & Wullschleger","O'Gorman, Danielle",Aff,"28.6																					Ghanem																													28.9																					Melton																													28.8																					Jackson																													28.7																					Wullschleger"
"Binghamton BS																				Buttgereit & Smith","Cornell LT																				Tilmes & Luciani","Massey, Jackie",Aff,"28.2																					Buttgereit																													28.4																					Smith																													28.1																					Luciani																													28.3																					Tilmes"
"James Madison TG																				Thies & Gamboa","RutgersNewark QC																				Carrera & Quiroz","Edwards, Meagan",Aff,"28.5																					Thies																													28.6																					Gamboa																													28.2																					Quiroz																													28.3																					Carrera"
"Florida CM																				Cartagena & Marchini","NYU AK																				Andreyeva & Knight","Revelins, Armands",Aff,"28.3																					Cartagena																													28.4																					Marchini																													27.8																					Andreyeva																													28																					Knight"
"United States Military BC																				Barlow & Caston","Liberty BC																				Bordelon & Crenshaw","Weitz, Mike “;Shooter“;",Aff,"30																					Barlow																													29.2																					Caston																													28.9																					Bordelon																													28.8																					Crenshaw"
"NYU PZ																				Panchanadam & Zhang","West Virginia MM																				Mullins & McTeer","Paqueo, Niccolo",Neg,"28.1																					Panchanadam																													28.2																					Zhang																													28																					Mullins																													28.4																					McTeer"
"James Madison PM																				Panetti & Montiero","Binghamton SY																				Schulze & Yan","Lee, Adam R.",Neg,"27.7																					Panetti																													27.6																					Montiero																													28.6																					Schulze																													28.8																					Yan"
"Navy RM																				Roach & Mueller","United States Military BG																				Bryant & Gulbis","Thoma, Austin",Aff,"28.3																					Roach																													28.4																					Mueller																													28.2																					Bryant																													27.7																					Gulbis"
"George Mason DM																				Dailey & Massa","Rutgers-Newark WF																				Wyche & Fakorede","Cherry, Kaine",Neg,"28.3																					Dailey																													28.2																					Massa																													28.5																					Wyche																													28.4																					Fakorede"
