Aff,Neg,Judging,Win,Points/Ranks
"Weber State GT																				Gaither & Tippets","Emory HR																				Haas & Reyes","Gerber, Matt",Aff,"29.3																					Gaither																													29.1																					Tippets																													28.8																					Haas																													28.6																					Reyes"
"Missouri - Kansas City FJ																				Fisher & Joseph","Kentucky GN																				Grasse & Noparstak","Strange, Ken",Neg,"28.8																					Aaron																													28.7																					Thomas																													29.1																					Grasse																													28.9																					Noparstak"
"Kansas State KS																				Klucas & Scott","Trinity SY																				Sposeep & Yorko","Quigley, Dylan",Neg,"28.5																					Klucas																													28.4																					Scott																													28.3																					Sposeep																													28.6																					Yorko"
"Harvard BD																				Banks & Drecker-Waxman","Binghamton BS																				Buttgereit & Smith","Russell, Jason",Aff,"29																					Banks																													28.8																					Drecker-Waxman																													28.3																					Buttgereit																													28.5																					Smith"
"Kentucky GV																				Geldof & Vargason","Kansas BR																				Bell & Robinson","Samuels, Phil",Aff,"29																					Geldof																													29.1																					Vargason																													28.9																					Bell																													29.2																					Robinson"
"Baylor BC																				Barron & Conner","Emory KS																				Karthikeyan & Sigalos","Koehle, Joe",Neg,"28.6																					Barron																													28.4																					Conner																													28.8																					Karthikeyan																													28.9																					Sigalos"
"Wyoming MM																				Marcum & McFarland","Wake Forest CL																				Cronin & Lopez","Varda, Scott",Neg,"28.3																					Marcum																													28.6																					McFarland																													28.4																					Cronin																													28.5																					Lopez"
"George Mason KK																				Kaye & Kwon","Michigan PK																				Peilen & Keenan","Campbell, Melanie",Aff,"28.5																					Kaye																													28.8																					Kwon																													28.3																					Peilen																													28.4																					Keenan"
"Harvard HS																				Herman & Sanjeev","Georgetown KE																				Kelley & Erpenbach","Frappier, Glen",Aff,"29.2																					Herman																													29.3																					Sanjeev																													28.9																					Kelley																													28.8																					Erpenbach"
"Kansas KR																				Katz & Robb","San Francisco State MS																				Murray & Shaheed","Turner, John",Neg,"27.8																					Katz																													27.9																					Robb																													28.2																					Murray																													28.1																					Shaheed"
"Southern Methodist SN																				Shivji & Nintunze","Wake Forest TV																				Tomasi & Van Schenck","Baez, Kristiana",Neg,"28.4																					Shivji																													28.3																					Nintunze																													28.7																					Tomasi																													28.6																					Van Schenck"
"Michigan State BR																				Runburg & Brill","Kansas BiCo																				Birzer & Cook","Ehrlich, Miranda",Neg,"28.4																					Brill																													28.5																					Runburg																													29																					Birzer																													28.8																					Cook"
"Binghamton HS																				Herrera & Sehgal","Oklahoma SP																				Sebunya & Plange","Brunson, Dashawnta",Neg,"29																					Herrera																													28.1																					Sehgal																													28																					Sebunya																													28.5																					Plange"
"James Madison BK																				Buchholz & Konrad","Kansas BhCa																				Bhatla & Carey","Struth, Matt",Neg,"27.9																					Buchholz																													28.3																					Konrad																													28.4																					Bhatla																													28.5																					Carey"
"UT San Antonio NV																				Nation & Villarreal","UC Berkeley MS																				Muppalla & Spurlock","Ruffin, Ameena",Neg,"28.6																					Nation																													28.5																					Villarreal																													29.5																					Muppalla																													29.6																					Spurlock"
"UC Berkeley GG																				Greenbury & Gruber","Washington ST																				Smet & Thompson","Paone, Ralph",Aff,"28.1																					Greenbury																													28																					Gruber																													27.8																					Smet																													27.9																					Thompson"
"Trinity RS																				Rothenbaum & Solice","Georgetown KL																				Knez & Louvis","Hester, Michael",Aff,"29.5																					Rothenbaum																													29.2																					Solice																													28.8																					Knez																													29																					Louvis"
"Missouri State WS																				Specker & Wicks","Houston ZJ																				Zhang & Jennings","Bhattacharjee, Risha",Neg,"28.3																					Wicks																													28																					Specker																													28.1																					Zhang																													28.2																					Jennings"
"Concordia NS																				Nolan & Shields","Wichita State CW																				Crane & Welch","Taylor, James",Neg,"27.5																					Nolan																													28																					Shields																													28.2																					Crane																													28.8																					Welch"
"Wake Forest MS																				Mitchell & Shaw","Cal State Fullerton CS																				Clark Villanueva & Stolarski","Bunas, Shae",Aff,"28.9																					Mitchell																													29																					Shaw																													28.5																					Clark Villanueva																													28.6																					Stolarski"
"United States Military BC																				Barlow & Caston","Texas KS																				Kilpatrick & Stransky","Cherry, Kaine",Aff,"29.4																					Barlow																													29																					Caston																													29.2																					Kilpatrick																													29.3																					Stransky"
"Oklahoma SJ																				Juarez & Sanchez","Gonzaga WS																				Weinhardt & Spraker","Langr, Maddie",Neg,"28.3																					Sanchez																													28.5																					Juarez																													28.8																					Weinhardt																													28.9																					Spraker"
"Wake Forest MM																				Manchester & Munoz","Wichita State SO																				Saunders & O'Donnell","Slaw, Talya",Aff,"28.8																					Manchester																													28.6																					Munoz																													28.7																					Saunders																													28.5																					O'Donnell"
"Northwestern CE																				Callahan & Esman","UC Berkeley SW																				Sergent-Leventhal & Wimsatt","Stanfield, Daniel",Neg,"28.6																					Callahan																													28.8																					Esman																													29.3																					Sergent-Leventhal																													29																					Wimsatt"
"Nevada Las Vegas BK																				Brooks & Kezios","Michigan MD																				Meyers-Levy & Donovan","Green, Justin",Neg,"28.8																					Brooks																													28.6																					Kezios																													28.9																					Meyers-Levy																													28.5																					Donovan"
"Gonzaga CJ																				Clawson & Johnson","Central Oklahoma CS																				Colen & Spencer","Lee, Jr, George",Aff,"28.9																					Clawson																													28.8																					Johnson																													28.6																					Colen																													28.7																					Spencer"
"Oklahoma ZS																				Zhou & Smith","Kansas WH																				Walter & Hegna","Gannon, Seth",Neg,"28.6																					Zhou																													28.5																					Smith																													28.7																					Walter																													28.8																					Hegna"
"Kentucky RH																				Roman & Hampton","Vermont BL																				Brough & Lee","Hall, Sherry",Neg,"28																					Roman																													28.2																					Hampton																													28.8																					Brough																													27.9																					Lee"
