Aff,Neg,Judging,Win,Points/Ranks
"Wake Forest DV																				Dahm & Van Schenck","Cornell KR																				Knight & Rooney","Ellis, Andy",Neg,"28.9																					Dahm																													29.2																					Van Schenck																													29.1																					Knight																													29																					Rooney"
"Liberty JW																				Jackson & Wullschleger","James Madison MC																				Miller & Cooper","McCleary, Patrick",Neg,"27.7																					Jackson																													27.6																					Wullschleger																													28.1																					Miller																													28.2																					Cooper"
"Mary Washington LS																				Lewis & Stackhouse","James Madison BK																				Buchholz & Konrad","Febrizio, Mark",Neg,"28.3																					Lewis																													28.4																					Stackhouse																													28.8																					Buchholz																													28.6																					Konrad"
"George Mason GM																				Ghanem & Melton","Wake Forest CR																				Culp & Rapier","Santmyer, Katie",Aff,"28.1																					Ghanem																													29																					Melton																													28.5																					Culp																													28																					Rapier"
"Binghamton FA																				Friedman & Allan","Wake Forest SS																				Shapiro & Sims","Johnson, Taylor",Aff,"28.6																					Friedman																													28.7																					Allan																													28.1																					Shapiro																													28.3																					Sims"
"James Madison YM																				Yim & Mueller","Wake Forest ET																				Estrada & Tomasi","Godbey, Samantha",Neg,"28.3																					Yim																													28.5																					Mueller																													29.1																					Estrada																													29																					Tomasi"
"Boston College CK																				Carelli & Kenner","George Mason DM																				Dailey & Massa","Bosley, Jacob",Aff,"28.2																					Carelli																													28.5																					Kenner																													28.6																					Dailey																													28.4																					Massa"
"James Madison DW																				Deihl & Wheeler","George Mason BO																				Brown & Oliver","Walker, Wesley",Aff,"29																					Deihl																													28.8																					Wheeler																													28.7																					Brown																													28.9																					Oliver"
"West Virginia MM																				Mullins & McTeer","James Madison GT																				Gamboa & Thies","Smith, Elijah",Neg,"27.7																					Mullins																													27.8																					McTeer																													27.9																					Gamboa																													28																					Thies"
"Wake Forest NR																				Nasar & Raudenbush","Mary Washington CW																				Coon & Wimberly","Jordan, Kathryn",Aff,"28.7																					Nasar																													28.6																					Raudenbush																													29.2																					Coon																													28.8																					Wimberly"
