Aff,Neg,Judging,Win,Points/Ranks
"Emory BG																				Baker & Gazmararian","Georgi AR																				Agarwal & Ramanan","Morris, Eric",Aff,"28.8																					Baker																													28.7																					Gazmararian																													28.3																					Agrawal																													28.5																					Ramanan"
"Emory DF																				Dean & Fiero","Kentuc AM																				Adam & Martin","Barouch, Tim",Neg,"28.6																					Dean																													28.8																					Fiero																													28.9																					Adam																													28.7																					Martin"
"MicSta LO																				Lewis & Oleynik","Capita CL																				Council & Lawson","Walker, Sarah",Neg,"28.8																					Lewis																													28.6																					Oleynik																													28.7																					Council																													28.9																					Lawson"
"Emory DM																				Doshi & Marcus","Georgi SW																				Stupek & White","Cram Helwich, David",Neg,"28.4																					Doshi																													28.3																					Marcus																													28.5																					Stupek																													28.2																					White"
"MisSta OG																				O'Dell & Gillespie","Michig SB																				Shah & Bowen","Herndon, James",Neg,"27.4																					O'Dell																													27.6																					Gillespie																													28.1																					Shah																													28.2																					Bowen"
"MicSta BR																				Brown & Runburg","WaySta DS																				Davidson & Sturgis","Hirn, Kevin",Neg,"28.4																					Brown																													28.6																					Runburg																													28.7																					Davidson																													28.3																					Sturgis"
"MicSta BC																				Brill & Campbell","WaySta DH																				Davis & Husic","Hart, Andrew",Aff,"28.9																					Brill																													28.3																					Campbell																													28.4																					Davis																													28.8																					Husic"
"MicSta MW																				Wier & McCledon","Georgi HJ																				Herrera & Jones","Najor, Bruce",Aff,"28																					McClendon																													28.3																					Wier																													27.8																					Herrera																													27.9																					Jones"
"GeoSta HN																				Hanks & Nails","Minnes AK																				Asirvatham & Kostelny","Evans, Brandon",Neg,"28.2																					Hanks																													28.3																					Nails																													28.7																					Asirvatham																													28.5																					Kostelny"
"MisSta BC																				Brower-Freeman & Cole","Florid CM																				Cartagena & Marchini","Corrigan, Abraham",Aff,"28.5																					Brower																													28.6																					Cole																													28.4																					Cartagena																													28.3																					Marchini"
"Samfor BD																				Bennie & Davis","WaySta BH																				Barnes & Haidar","DeLong, Brian",Aff,"28.5																					Bennie																													28.3																					Davis																													28.4																					Barnes																													28.2																					Haidar"
"Florid AS																				Allums & Scolaro","Kentuc BR																				Baller & Rivas","Stewart, Clay",Neg,"28.1																					Allums																													27.6																					Scolaro																													28.5																					Baller																													28.3																					Rivas"
"Georgi BR																				Boyce & Rice","Michig PW																				Pasquinelli & Walrath","Meloche, Brad",Aff,"29																					Boyce																													29.1																					Rice																													28.7																					Pasquinelli																													28.9																					Walrath"
