Aff,Neg,Judging,Win,Points/Ranks
"Kansas GB																				Garcia & Boyce","UT Dallas GV																				Gilbert & Vera","Moore, Matthew",Neg,"27.8																					Garcia																													28.3																					Boyce																													28.5																					Gilbert																													28.4																					Vera"
"UT Dallas BJ																				Becker & Johnson","Kansas WS																				Woodcock & Schrag","Stout, Daniel",Aff,"28.5																					Becker																													28.4																					Johnson																													28.6																					Woodcock																													28.3																					Schrag"
"Wichita CR																				Cassil & Roy","MO State EH																				Evans & Hamaker","Gonzalez, Joshua",Neg,"28.1																					Cassil																													28.5																					Roy																													28.4																					Evans																													28.3																					Hamaker"
"UCO FM																				Flake & Meeker","Kansas AC																				Atkins & Crater","Ogbuli, Anthony",Neg,"28																					Flake																													28.8																					Meeker																													28.5																					Atkins																													28.4																					Crater"
"UT Dallas SS																				Sanchez & Sanchez","UCO AM																				Alonzo & Moore","Schauer, Courtney",Neg,"28																					Sanchez																													28.2																					Sanchez																													28.1																					Alonzo																													28.3																					Moore"
"UT Dallas AR																				Agarwala & Rizvi","Concordia DH																				Depass & Huber","Evans, Sarah",Aff,"28.9																					Agarwala																													28.3																					Rizvi																													28.5																					Depass																													28.6																					Rose"
"Kansas HS																				Henry & Sosalla-Bahr","UMKC SM																				Schartz & Mitchell","McCullough, Hunter",Aff,"28.6																					Henry																													28.7																					Sosalla-Bahr																													28.4																					Schartz																													28.5																					Mitchell"
"UMKC HJ																				Hauschildt & Jutt","Kansas DG																				Delph & Glasscock","DiPiazza, Philip",Neg,"28.6																					Hauschildt																													28.4																					Jutt																													28.7																					Delph																													28.8																					Glasscock"
"Baylor CR																				Conner & Ramsey","UCO CC																				Colen & Colquitt","Bonnet, Drew",Aff,"28.2																					Conner																													28.8																					Ramsey																													28.4																					Colen																													28																					Colquitt"
"Oklahoma SZ																				Schleicher & Zhou","UMKC KS																				Kroger & Scott","Sternhagen, Fred",Aff,"28																					Schleicher																													29.5																					Zhou																													28.7																					Kroger																													28.5																					Scott"
"Houston LS																				Love & Spiehler","JCCC ES																				Engelbert & Singleton","Brennan, Eli",Neg,"28.9																					Love																													28.8																					Spiehler																													28.7																					Engelbert																													29.2																					Singleton"
"KSU EPAW FS																				Ford & Smith","MO State WW																				West & Wicks","Maurer, Samuel",Aff,"28.4																					Ford																													28.7																					Smith																													28.3																					West																													28.5																					Wicks"
"Baylor SW																				Sheaff & Walberg","Oklahoma WH																				Witman & Hurtado","Eisenstadt, Michael",Aff,"28.7																					Sheaff																													28.5																					Walberg																													28.6																					Witman																													28.4																					Hurtado"
"UT Dallas BB																				Baez & Bawany","MO State DM																				Dickerson & Morrison","Kirk, Justin",Neg,"27.9																					Baez																													28																					Bawany																													28.5																					Dickerson																													28.4																					Morrison"
