Aff,Neg,Judging,Win,Points/Ranks
"Gonzaga SW																				Skoog & Weinhardt","UC Berkeley WG																				Wimsatt & Gray","Samuels, Phil",Neg,"28.6																					Skoog																													28.7																					Weinhardt																													29.1																					Wimsatt																													28.9																					Gray"
"Emory GK																				Gazmararian & Karthikeyan","Kansas KF																				Katz & Fry","Kennedy, Patrick",Aff,"28.8																					Gazmararian																													29.5																					Karthikeyan																													29.2																					Katz																													28.9																					Fry"
"Kansas BC																				Birzer & Cook","Nevada Las Vegas AK																				Aguilar & Kezios","Grasse, Donald",Aff,"28.4																					Birzer																													28.5																					Cook																													28.3																					Aguilar																													28.6																					Kezios"
"Dartmouth HA																				Ahmad & Hill-Weld","Weber State GT																				Gaither & Tippets","Leonardi, Chris",Neg,"28.6																					Hill-Weld																													28.5																					Ahmad																													28																					Gaither																													27.9																					Tippets"
"Wyoming CH																				Culver & Henman","Indiana FH																				Ferguson & Hoffman","Green, LaToya",Neg,"28.7																					Culver																													28.6																					Henman																													28.8																					Ferguson																													28.9																					Hoffman"
"Harvard MS																				Midha & Sanjeev","Wake Forest CR																				Cronin & Reddy","Cheek, Ryan",Aff,"29																					Midha																													29.3																					Sanjeev																													28.8																					Cronin																													28.7																					Reddy"
"West Georgia MJ																				Michael & Jordan","Cal State Fullerton GR																				Garcia & Ruano","Snelling, Tyler",Aff,"28.8																					Michael																													28.7																					Jordan																													28.3																					Garcia																													28.2																					Ruano"
"George Mason BH																				Brown & Hansen","Dartmouth HK																				Hall & Kim","Crossan, Ben",Aff,"28.5																					Brown																													28.3																					Hansen																													28.2																					Hall																													28.4																					Kim"
"Washington BU																				Bellis & Unger","Oklahoma SS																				Smith & Skelton","Osborn, Martin",Neg,"28.2																					Bellis																													28																					Unger																													28.1																					Skelton																													28.8																					Smith"
"Michigan State CL																				Campbell & Lewis","Texas SC																				Sen & Cheung","Campbell, Rashid",Aff,"28.8																					Campbell																													29.4																					Lewis																													28																					Sen																													27.9																					Cheung"
"Northwestern BW																				Byrne & Weideman","Texas KM																				Keleman & McKinley","Lee, Jr, George",Neg,"29.1																					Byrne																													29.2																					Weideman																													29.4																					Keleman																													29.3																					McKinley"
"UC Berkeley SM																				Spurlock & Muppalla","Northwestern JY																				Jankovsky & Young","Turner, John",Aff,"28.8																					Spurlock																													28.9																					Muppalla																													28.3																					Jankovsky																													28.5																					Young"
"Dartmouth CM																				Cornejo & McCallum","Gonzaga BE																				Basler & Elias","Watts, Nick",Aff,"28.5																					Cornejo																													28.4																					McCallum																													28.3																					Basler																													28.2																					Elias"
"Southern California BL																				Berger & Larsen","Wake Forest GT																				Gidley & Tomasi","Moore, Matthew",Aff,"29.1																					Berger																													28.8																					Larsen																													28.9																					Gidley																													28.7																					Tomasi"
"Wake Forest AS																				Athanasopoulos & Sugino","Northwestern CE																				Callahan & Esman","Lundeen, Geoff",Neg,"29.5																					Athanasopoulos																													29.3																					Sugino																													29.6																					Callahan																													29.4																					Esman"
"UC Berkeley OP																				Obuchi & Park","Weber State HR																				Hall & Rawle","Smith, Elijah",Neg,"28.3																					Obuchi																													28.4																					Park																													28.7																					Legionaires																													28.5																					Rawle"
"Wake Forest MM																				Manchester & Mitchell","Texas SH																				Segura & Harun","Bunas, Shae",Aff,"29																					Manchester																													28.9																					Mitchell																													28.6																					Segura																													28.7																					Harun"
"Arizona State FV																				Ferdowsian & Vinson","Georgetown KK																				Kelley & Krishnan","Morgan, Will",Neg,"28.3																					Ferdowsian																													28.2																					Vinson																													28.4																					Kelley																													28.5																					Krishnan"
"Oklahoma PS																				Plange & Sebunya","Dartmouth CF																				Carithers & Funston","Steffan, Mike",Aff,"28.7																					Plange																													28.5																					Sebunya																													28.4																					Carithers																													28.6																					Funston"
"Emory LM																				Lewis & Marcus","Michigan State RG																				Runburg & Grossman","Dillard, Kara",Neg,"28.3																					Lewis																													28.1																					Marcus																													28.4																					Runburg																													28.2																					Grossman"
"Nevada Las Vegas BO																				Berrios & Ogata","Dartmouth EX																				Estrada & Xiang","McFarland, Hunter",Aff,"28.6																					Berrios																													28.8																					Ogata																													28.7																					Estrada																													28.4																					Xiang"
"Cal State Fullerton HJ																				Harris & Johnston","Washington HP																				Hiatt & Petrone","Symonds, Adam",Aff,"28.5																					Harris																													28.4																					Johnston																													28.2																					Hiatt																													28.3																					Petrone"
"Texas BP																				Bleiweiss & Pabst","Michigan GW																				Goldschlag & Walrath","Varda, Scott",Neg,"29.1																					Bleiweiss																													28.9																					Pabst																													29																					Goldschlag																													29.2																					Walrath"
"Dartmouth VV																				Varma & Varma","Washington EM																				Elizondo & Maghirang","Harris, Scott",Aff,"28.5																					Varma																													28.4																					Varma																													28.1																					Elizondo																													28.2																					Maghirang"
"Texas KS																				Kilpatrick & Stransky","UC Berkeley FM																				Fleming & Martin","Krakoff, Joe",Aff,"28.9																					Kilpatrick																													29																					Stransky																													28.6																					Fleming																													28.5																					Martin"
"Gonzaga SJ																				Spraker & Johnson","UT Dallas JB																				Johnson & Becker","Souders, Michael",Aff,"28.6																					Spraker																													28.4																					Johnson																													28.3																					Johnson																													28.5																					Becker"
"Wyoming HL																				Hellebuick & Lamb","Nevada Las Vegas SS																				Smith & Stinnett","Conklin, Elyse",Aff,"28.3																					Hellebuick																													28.5																					Lamb																													28.4																					Smith																													28																					Stinnett"
"Kansas HW																				Hegna & Walter","Rutgers-Newark NM																				Nave & Murphy","Dunn, Izak",Aff,"29.1																					Hegna																													28.9																					Walter																													28.8																					Nave																													29																					Murphy"
"Mary Washington CL																				Coon & Lewis","CSU Long Beach DP																				Dadah & Pavlath","Lee, Daniel",Aff,"28.5																					Coon																													28.6																					Lewis																													28.3																					Dadah																													28.2																					Pavlath"
"Kansas BR																				Bell & Robinson","Baylor BZ																				Barron & Zoda","Cooper, Deven",Aff,"29.2																					Bell																													29.4																					Robinson																													28.8																					Barron																													29																					Zoda"
"Central Oklahoma SH																				Stidham & Hilligoss","Georgetown KL																				Knez & Louvis","Feldman, Jonah",Neg,"28.8																					Stidham																													28.7																					Hilligoss																													29.3																					Knez																													29.2																					Louvis"
"Michigan KS																				Keenan & Shelton","Minnesota AL																				Asirvatham & Leburu","Weil, Stephen",Neg,"28.7																					Keenan																													28.6																					Shelton																													28.9																					Asirvatham																													28.8																					Leburu"
"Kentucky TB																				Trufanov & Bannister","Kansas BB																				Bajwa & Bhatla","Phillips, Scott",Aff,"29.2																					Trufanov																													29.5																					Bannister																													29																					Bajwa																													29.1																					Bhatla"
"Michigan State RB																				Rodriguez & Brown","Harvard CD																				Drecker-Waxman & Cordoves","Deming, Kyle",Aff,"28.7																					Rodriguez																													28.8																					Brown																													28.6																					Cordoves																													28.5																					Drecker-Waxman"
"Michigan DM																				Donovan & Meyers-Levy","Nevada Las Vegas GH																				Gomez & Horn","Newton, Jordon",Aff,"29																					Donovan																													28.8																					Meyers-Levy																													28.7																					Gomez																													28.9																					Horn"
"Kentucky NA																				Adam & Noparstak","Michigan State MW																				Munsinger & Walkington","Klarman, Brian",Aff,"29.3																					Noparstak																													29																					Adam																													28.6																					Munsinger																													28.8																					Walkington"
"Oklahoma SP																				Sanchez & Pickens","Wake Forest DM																				Dean & Munoz","Brough, Taylor",Aff,"29.7																					Sanchez																													29.6																					Pickens																													29.5																					Dean																													29.4																					Munoz"
"Arizona State RS																				Ram & Suresh","UC Berkeley MC																				Chen & Meel","Cram, Travis",Neg,"28.6																					Ram																													28.4																					Suresh																													28.7																					Meel																													28.5																					Chen"
"Indiana GD																				Gallina & Dehmlow Dunne","Oklahoma JW																				Juarez & White","Jallits, Matthew",Neg,"28.6																					Gallina																													28.4																					Dehmlow Dunne																													29.1																					Juarez																													28.8																					White"
