Aff,Neg,Judging,Win
"Georgetown KL																				Knez & Louvis","Oklahoma JW																				Juarez & White","Morgan, Will																													Rebrovick, Tripp																													Strange, Ken","Neg																																																		Neg																																																									Aff"
"Kansas HW																				Hegna & Walter","Oklahoma SP																				Sanchez & Pickens","Dunn, Izak																													Hirn, Kevin																													Symonds, Adam","Neg																																																									Aff																																																		Aff"
"Kansas BC																				Birzer & Cook","Central Oklahoma SH																				Stidham & Hilligoss","Bauer, Jenna																													Cram, Travis																													Weil, Stephen","Aff																																																		Aff																																																		Aff"
"Weber State GT																				Gaither & Tippets","Michigan DM																				Donovan & Meyers-Levy","Langr, Maddie																													Osborn, Martin																													Sehgal, Dhruv","Neg																													Aff																																																		Aff"
"Wake Forest AS																				Athanasopoulos & Sugino","Wake Forest MM																				Manchester & Mitchell",BYE,
"Michigan GW																				Goldschlag & Walrath","Northwestern CE																				Callahan & Esman","Campbell, Melanie																													Moczulski, Leah																													Wunderlich, Carly","Aff																																																		Aff																																																																							Neg"
"George Mason BH																				Brown & Hansen","Kentucky TB																				Trufanov & Bannister","Jallits, Matthew																													Lundeen, Geoff																													Samuels, Phil","Neg																																																		Neg																																																		Neg"
"Nevada Las Vegas GH																				Gomez & Horn","Texas KS																				Kilpatrick & Stransky","Petersen, Mathew																													Saiedian, Ideen																													Solice, Maggie","Neg																																																		Neg																																																		Neg"
"Nevada Las Vegas AK																				Aguilar & Kezios","UC Berkeley WG																				Wimsatt & Gray","McFarland, Hunter																													Steffan, Mike																													Turner, John","Neg																																																		Neg																																																		Neg"
"Emory GK																				Gazmararian & Karthikeyan","Wake Forest DM																				Dean & Munoz","Cram Helwich, David																													Grasse, Donald																													Myers, Andrew","Aff																																																		Aff																																																																							Neg"
"Kansas BB																				Bajwa & Bhatla","Harvard MS																				Midha & Sanjeev","Malsin, Mikaela																													Reed, Andrea																													Repko, William","Neg																																																		Neg																																																		Neg"
"Kansas BR																				Bell & Robinson","Michigan State MW																				Munsinger & Walkington","Crossan, Ben																													Feldman, Jonah																													Klarman, Brian","Neg																																																									Aff																																																		Aff"
"Southern California BL																				Berger & Larsen","Rutgers-Newark NM																				Nave & Murphy","Allen, Ben																													Brough, Taylor																													Green, LaToya","Aff																																																		Aff																																																																							Neg"
"Michigan State RB																				Rodriguez & Brown","Baylor BZ																				Barron & Zoda","Antonucci, Michael																													DeLong, Brian																													Kennedy, Patrick","Neg																																																		Neg																																																		Neg"
"UC Berkeley SM																				Spurlock & Muppalla","West Georgia MJ																				Michael & Jordan","Conklin, Elyse																													Leonardi, Chris																													Smith, Elijah","Aff																																																																							Neg																													Aff"
"Kentucky NA																				Adam & Noparstak","Gonzaga SW																				Skoog & Weinhardt","Fitzmier, Daniel																													Phillips, Scott																													Varda, Scott","Aff																																																		Aff																																											Neg"
