Aff,Neg,Judging,Win,Points/Ranks
"Vanderbilt RG																				Ray & Gardner","Navy GY																				German & Yu","Thomas, Christopher",Neg,"28.3																					Ray																													28.4																					Gardner																													28.1																					German																													28																					Yu"
"Vanderbilt LT																				Lawrence & Tezak","Liberty BE																				Barnett & Emile","Escobedo, Janet",Aff,"28																					Lawrence																													28.2																					Tezak																													27.2																					Barnett																													27																					Emile"
"Vanderbilt ZA																				Zhang & Augenstein","Liberty AA																				Armstrong & Asbury","Conway, Jonathan",Aff,"25																					Zhang																													28																					Augenstein																													26																					Armstrong																													27																					Asbury"
"George Mason AZ																				Alvarez & Zhao","Liberty MS																				Macumber & Stewart","Duval, Katie",Aff,"28.3																					Alvarez																													28.4																					Zhao																													28.1																					Macumber																													28																					Stewart"
"Vanderbilt LM																				Lin & Mione","Samford WC																				Chaves & Windus","Vargason, Ava",Neg,"28.2																					Lin																													28.4																					Mione																													28.5																					Windus																													28.3																					Chaves"
"Liberty BP																				Barnett & Parish","George Mason AK																				Ahmed & Kim","Whitley, Kevin",Aff,"28.3																					Barnett																													28.2																					Parish																													28.1																					Ahmed																													28																					Kim"
"George Mason KS																				Kazangian & Silva","Miami LP																				Li & Perez","Dicker, Aaron",Neg,"26																					Kazangian																													26.1																					Silva																													27.5																					Li																													28																					Perez"
"Houston JP																				Jammer & Peavy","Liberty Gr																				Alvord & Grimes","Zaikowski, Jonathan",Neg,"27.6																					Jammer																													27.3																					Peavy																													28																					Alvord																													27.4																					Grimes"
"George Mason VR																				Vu & Reddy","Clarion CC																				Callenburg & Claypool","Wirth, Andrew",Aff,"29.5																					Vu																													28.8																					Reddy																													28																					Callenburg																													27.9																					Claypool"
"Vanderbilt FB																				Bollera & Field","Georgia State MS																				Mebius & Scully","Crowe, Michael",Aff,"27.3																					Field																													27.2																					Bollera																													27.1																					Mebius																													27																					Scully"
"Emory RW																				Roundy & Wang","Liberty AG																				Allison & Green","Steinberg, David",Neg,"27.6																					Roundy																													27.4																					Wang																													27.2																					Allison																													27.8																					Green"
"Trinity BD																				Boyd & Dennis","Houston AW																				Abaei & Walton","Thomas, Sarahbeth",Neg,"28.1																					Boyd																													28																					Dennis																													28.3																					Abaei																													29.3																					Walton"
