Aff,Neg,Judging,Win
"UC Berkeley GW																				Gray & Wimsatt","Pittsburgh DL																				Denison & Levinson","Bankey, Brendon																													Meloche, Brad																													Walters, Heather","Neg																													Aff																																																		Aff"
"Harvard MT																				Mohamed & Trepka","Kansas BC																				Birzer & Cook","Galloway, Ryan																													Harrigan, Casey																													Herndon, James","Neg																																																		Neg																																																		Neg"
"Michigan State MW																				Munsinger & Walkington","Texas SC																				Stransky & Clarke","Feldman, Jonah																													Mathis, Erik																													Weil, Stephen","Aff																																																		Aff																																																		Aff"
"Baylor BC																				Barron & Conner","Wake Forest MM																				Manchester & Mitchell","Moore, Matthew																													Phillips, Scott																													Young, Kelly","Neg																																																									Aff																																											Neg"
"West Georgia CC																				Charles & Chan","Wake Forest AS																				Athanasopoulos & Sugino","Matheson, Calum																													Morgan, Will																													Regnier, Jason","Neg																																																		Neg																																																		Neg"
"Emory DP																				Demers & Phillips","Harvard GS																				Gordon & Slavinsky","Cram Helwich, David																													Hirn, Kevin																													Watts, Nick","Neg																																																		Neg																																																		Neg"
"Nevada Las Vegas HG																				Horn & Gomez","Emory FL																				Forman & Lowe","Lastovica, Kyle																													Perkins, Dallas																													Petersen, Mathew","Neg																																																		Neg																																																		Neg"
"Emory FR																				Fiero & Reed-Guevara","Harvard AM																				Asimow & Medrano","Baez, Kristiana																													Fifelski, Kurt																													Hantel, Max","Neg																																																									Aff																																																		Aff"
"Michigan KS																				Keenan & Shelton","UC Berkeley MS																				Muppalla & Spurlock","Klarman, Brian																													Mosley-Jensen, William																													Turner, John","Neg																																																		Neg																																																		Neg"
"Kentucky AN																				Adam & Noparstak","Northwestern CE																				Callahan & Esman","Erpenbach, Jackson																													Malsin, Mikaela																													Sigalos, Jason","Neg																																																		Neg																																																		Neg"
"Georgia RS																				Rice & Stupek","Emory GK																				Gazmararian & Karthikeyan","Campbell, Melanie																													DeLong, Brian																													Wunderlich, Carly","Neg																													Aff																																																																							Neg"
"Gonzaga JS																				Johnson & Spraker","Kentucky BT																				Bannister & Trufanov","Fitzmier, Daniel																													Rebrovick, Tripp																													Roark, Collin","Neg																																																									Aff																																											Neg"
"Kansas BR																				Bell & Robinson","Kansas HW																				Hegna & Walter",BYE,
"Wake Forest DM																				Dean & Munoz","Harvard MS																				Midha & Sanjeev","Grasse, Donald																													McCleary, Patrick																													Revelins, Armands","Neg																																																		Neg																																																		Neg"
"Michigan MD																				Meyers-Levy & Donovan","Georgia AR																				Agrawal & Ramanan","Reed, Andrea																													Repko, William																													Strong, Margaret","Aff																																																		Aff																																																		Aff"
"Michigan GW																				Goldschlag & Walrath","Georgetown LK																				Louvis & Knez","Buntin, Jeff																													Gliniecki, Tom																													Strauss, David","Neg																																																		Neg																																																		Neg"
