Aff,Neg,Judging,Win,Points/Ranks,Ranks
"George Mason BH																				Brown & Hansen","Georgia AR																				Agrawal & Ramanan","Allen, Sam",Neg,"2											28.8																					Brown																																								 4											28.6																					Hansen																																								 3											28.7																					Agrawal																																								 1											28.9																					Ramanan",
"Wake Forest CS																				Callahan & Super","Navy GM																				Gutierrez & Mueller","Lastovica, Kyle",Aff,"1											28.8																					Callahan																																								 2											28.7																					Super																																								 4											27.9																					Gutierrez																																								 3											28.2																					Mueller",
"Boston College MP																				MacDonald & Pressman","Liberty BW																				Blow & Wierschem","Glass, Robert",Neg,"3											28.4																					MacDonald																																								 4											28.3																					Pressman																																								 1											28.6																					Blow																																								 2											28.5																					Wierschem",
"Wayne State HD																				Husic & Davis","Wake Forest SV																				Shapiro & Van Schenck","English, Eric",Neg,"3											28.7																					Husic																																								 2											28.8																					Davis																																								 4											28.6																					Shapiro																																								 1											29																					Van Schenck",
"Georgia HH																				Hoover & Henderson","Samford DR																				Davenport & Reamer","McCleary, Patrick",Aff,"2											28.5																					Henderson																																								 1											28.6																					Hoover																																								 4											28																					Davenport																																								 3											28.1																					Reamer",
"James Madison CD																				Conroy & Deihl","Pittsburgh BF																				Brahin & Ferolie","Ridley, Sean",Neg,"3											28.5																					Conroy																																								 4											28.4																					Deihl																																								 1											28.7																					Brahin																																								 2											28.6																					Ferolie",
"Florida State GM																				Gomez & McMillan","Georgetown DG																				Duflock & Galant","Nagy, John",Neg,"3											28.1																					Gomez																																								 4											28																					McMillan																																								 2											28.4																					Duflock																																								 1											28.5																					Galant",
"Wayne State AC																				Anton & Curtiss","NYU CR																				Cammayo & Reyes","Poapst, Jackie",Aff,"3											28.9																					Anton																																								 1											29.2																					Curtiss																																								 4											28.5																					Cammayo																																								 2											29																					Reyes",
"Liberty HS																				Harrington & Samuel","Pittsburgh AK																				Abdul-Aziz & Katz","Rippetoe, Samantha",Aff,"1											28.7																					Harrington																																								 2											28.6																					Samuel																																								 3											28.5																					Abdul-Aziz																																								 4											28.4																					Katz",
"James Madison CT																				Cerja & Thies","Pittsburgh KL																				Krizan & Lee","Meloche, Brad",Aff,"1											28.9																					Cerja																																								 2											28.8																					Thies																																								 4											28.5																					Krizan																																								 3											28.6																					Lee",
"Binghamton SB																				Smith & Buttgereit","West Virginia BC																				Baker & Colón","Astacio, Carlos",Aff,"1											28.5																					Smith																																								 3											28.3																					Buttgereit																																								 2											28.4																					Baker																																								 4											28.2																					Colón",
"NYU AZ																				Andreyeva & Zhang","Binghamton MX																				Montero & Xu","Schiess, Kaitlyn",Neg,"4											28																					Andreyeva																																								 3											28.1																					Zhang																																								 1											28.5																					Montero																																								 2											28.4																					Xu",
"United States Military WS																				Watts & Smith","George Mason HM																				Howley & Melton","Crane, Leonora",Neg,"4											28.1																					Watts																																								 2											28.4																					Smith																																								 1											28.6																					Howley																																								 3											28.2																					Melton",
"Kentucky SL																				Sanchez & Lopez","Georgetown GL																				Gibson & Li","Call, Hannah",Neg,"2											28.5																					Sanchez																																								 4											28.3																					Lopez																																								 3											28.4																					Gibson																																								 1											28.6																					Li",
"Wake Forest EG																				Estrada & geraghty","Georgia MH																				Marshall & Hackman","Susko, Peter",Aff,"3											28.6																					Estrada																																								 1											28.8																					Geraghty																																								 4											28.5																					Marshall																																								 2											28.7																					Hackman",
"Kentucky RP																				Rivas & Powell","Binghamton PM																				Pan & Martin","Crenshaw, Michael",Aff,"2											28.3																					Rivas																																								 1											28.4																					Powell-Pkojo																																								 4											28.1																					Pan																																								 3											28.2																					Martin",
"Pittsburgh CR																				Cusick & Ramanna","Wake Forest NW																				Nys & Williams","Holguin, Alex",Neg,"4											28.6																					Cusick																																								 3											28.8																					Ramanna																																								 1											29.4																					Nys																																								 2											29.3																					Williams",
"Liberty OR																				Omala & Robinson","West Virginia/Binghamton WG																				Williams & Gopalakrishnan","Newman, Jennifer",Neg,"2											29																					Omala																																								 4											28.5																					Robinson																																								 1											29.1																					Williams																																								 3											28.9																					Gopalakrishnan",
"Dartmouth ML																				Mohapatra & Lee","Rutgers-Newark CS																				Carrera & Stafford","Shook, Lindsey",Neg,"1											28.6																					Mohapatra																																								 4											28																					Lee																																								 2											28.5																					Carrera																																								 3											28.4																					Stafford",
"Pittsburgh DL																				Denison & Levinson","Wayne State JM																				Jancek & Maxey","Woodruff, Austin",Aff,"1											29.1																					Denison																																								 2											29																					Levinson																																								 4											28.3																					Jancek																																								 3											28.4																					Maxey",
"Georgia YM																				Yonter & Mokhemar","James Madison LW																				Lepp & Wardak","Katsulas, John",Neg,"3											28.6																					Yonter																																								 4											28.5																					Mokhemar																																								 1											28.9																					Lepp																																								 2											28.8																					Wardak",
"Georgia RS																				Rice & Stupek","Liberty JR																				Jackson & Robillard","Kimball, Judd",Aff,"1											29.1																					Rice																																								 3											28.9																					Stupek																																								 2											29																					Jackson																																								 4											28.8																					Robillard",
