Aff,Neg,Judging,Win,Points/Ranks
"Trinity SY																				Sposeep & Yorko","Minnesota AL																				Asirvatham & Leburu","Brass, Oliver",Neg,"28.4																					Sposeep																													28.5																					Yorko																													28.9																					Asirvatham																													28.7																					Leburu"
"Missouri State WM																				Wicks & Morrison","Wayne State AD																				Anton & Davis","Crunkilton, Cody",Neg,"28.5																					Wicks																													28.2																					Morrison																													28.4																					Anton																													28.3																					Davis"
"Emory LB																				Lessnick & Baker","Missouri State DS																				Dickerson & Specker","Johnson, Taylor",Aff,"28.6																					Lessnick																													28.4																					Baker																													28.2																					Dickerson																													28																					Specker"
"Samford BD																				Brooks & Davenport","Emory GT																				Gross & Tucker","Ehrlich, Miranda",Aff,"28.4																					Brooks																													28.2																					Davenport																													28.1																					Gross																													28.3																					Tucker"
"Emory BC																				Burgess & Cozad","Michigan UZ																				Ungerleider & Zhu","Crowe, Michael",Neg,"28.7																					Burgess																													28.6																					Cozad																													28.8																					Ungerleider																													28.9																					Zhu"
"Georgia SR																				Stupek & Rice","James Madison LW																				Lepp & Wardak","O'Gorman, Danielle",Aff,"28.8																					Stupek																													28.9																					Rice																													28.7																					Lepp																													28.5																					Wardak"
"James Madison CT																				Cerja & Thies","Wayne State CH																				Curtiss & Husic","Gramzinski, Logan",Neg,"28.5																					Cerja																													28.4																					Thies																													28.6																					Curtiss																													28.9																					Husic"
"James Madison BK																				Buchholz & Konrad","Michigan SP																				Shah & Peilen","Herndon, James",Neg,"28.1																					Buchholz																													28																					Konrad																													28.2																					Shah																													28.5																					Peilen"
"Michigan RL																				Rogers & Love","Emory HM																				Haas & Morbeck","Vitolo, CV",Neg,"28.8																					Rogers																													28.9																					Love																													29																					Haas																													29.1																					Morbeck"
"Georgia AR																				Agrawal & Ramanan","Missouri State WE																				West & Evans","Hiland, Al",Aff,"28.9																					Agrawal																													28.7																					Ramanan																													28.4																					West																													28.8																					Evans"
"Michigan SM																				Smith & Meadows","Emory LM																				Lewis & Marcus","Steiner, Rebecca",Neg,"28.5																					Smith																													28.4																					Meadows																													28.7																					Lewis																													28.6																					Marcus"
"Trinity DK																				Dill & Khullar","Georgia HH																				Henderson & Hoover","Lee, Edward",Aff,"28.5																					Dill																													28.4																					Khullar																													28																					Henderson																													28.2																					Hoover"
"Georgia State FN																				Flint & Nails","Minnesota KT																				Kostelny & Tauring-Traxler","Shook, Lindsey",Aff,"28.2																					Flint																													28.5																					Nails																													28.3																					Kostelny																													28.4																					Tauring-Traxler"
