Aff,Neg,Judging,Win,Points/Ranks
"Kansas BB																				Bhatla & Bajwa","Gonzaga WS																				Weinhardt & Skoog","Crossan, Ben",Aff,"28.7																					Bhatla																													28.8																					Bajwa																													28.9																					Weinhardt																													28.6																					Skoog"
"Kansas DR																				Delph & Robinson","Wichita State CW																				Crane & Welch","Ard, Marquis",Aff,"29																					Delph																													29.5																					Robinson																													28.4																					Crane																													28.5																					Welch"
"Harvard MC																				Mohamed & Cordoves","Boston College MP																				MacDonald & Pressman","Lastovica, Kyle",Aff,"28.5																					Mohamed																													28.3																					Cordoves																													28.4																					MacDonald																													28.2																					Pressman"
"Minnesota AL																				Asirvatham & Leburu","Harvard MS																				Midha & Sanjeev","Gramzinski, Logan",Neg,"28.8																					Asirvatham																													28.6																					Leburu																													29.1																					Midha																													29.3																					Sanjeev"
"Texas BP																				Bleiweiss & Pabst","Georgia State HW																				Hussein & Williams","Leeson-Schatz, Joe",Aff,"29																					Bleiweiss																													29.1																					Pabst																													28.3																					Hussein																													28.4																					Williams"
"Wayne State HM																				Haran & Maxey","Emory SY																				Shaikh & Yamout","Mosley-Jensen, William",Neg,"28.7																					Haran																													28.1																					Maxey																													28.9																					Shaikh																													28.8																					Yamout"
"Emory DP																				Demers & Phillips","California, Berkeley OP																				Obuchi & Park","English, Eric",Aff,"29.1																					Demers																													29.4																					Phillips																													29.3																					Obuchi																													28.8																					Park"
"Kansas BC																				Birzer & Cook","Kentucky BT																				Bannister & Trufanov","Gliniecki, Tom",Neg,"28.8																					Birzer																													29																					Cook																													29.1																					Bannister																													28.9																					Trufanov"
"Wyoming HL																				Hellebuick & Lamb","Baylor BC																				Barron & Conner","Ruffin, Ameena",Neg,"28.9																					Hellebuick																													28.4																					Lamb																													28.8																					Barron																													29																					Conner"
"Arizona State FR																				Ferdowsian & Ram","Cal State Fullerton GR																				Garcia & Ruano","Snelling, Tyler",Aff,"28.6																					Ferdowsian																													28.5																					Ram																													28.3																					Garcia																													28.4																					Ruano"
"Binghamton YA																				Yan & Allan","Dartmouth College HL																				Hall & Lee","Hingstman, David",Aff,"28.7																					Yan																													28.6																					Allan																													28.4																					Hall																													28.5																					Lee"
"Trinity SY																				Sposeep & Yorko","UVM BH																				Brewton & Hassan","Langr, Maddie",Aff,"28.6																					Sposeep																													28.7																					Yorko																													28.2																					Brewton																													28.3																					Hassan"
"Binghamton MP																				Montero & Pan","Emory QT																				Quashie & Tucker","Whitley, Kevin",Neg,"28.4																					Montero																													28.5																					Pan																													28.7																					Quashie																													28.6																					Tucker"
"Dartmouth College Ch																				Mohapatra & Chen","Harvard GS																				Gordon & Slavinsky","Newton, Jordon",Neg,"28.4																					Mohapatra																													28.5																					Chen																													29.1																					Gordon																													29																					Slavinsky"
"Pittsburgh DL																				Denison & Levinson","George Mason BH																				Brown & Hansen","Myers, Andrew",Neg,"29.1																					Denison																													28.9																					Levinson																													29.2																					Brown																													29																					Hansen"
"Minnesota DJ																				Dharmadhikari & Johnson","Baylor SW																				Sheaff & Walberg","Strong, Margaret",Neg,"28.2																					Dharmadhikari																													28.1																					Johnson																													28.4																					Sheaff																													28.5																					Walberg"
"Oklahoma SP																				Sanchez & Pickens","Missouri - Kansas City AT																				Aaron & Thomas","Smith, Jesse",Neg,"29.5																					Sanchez																													29.3																					Pickens																													29.4																					Aaron																													29.6																					Thomas"
"James Madison CT																				Cerja & Thies","Missouri State MW																				Morrison & West","Atchison, Jarrod",Neg,"28.6																					Cerja																													28.4																					Thies																													28.5																					Morrison																													28.7																					West"
"Dartmouth College BA																				Belhachmi & Ahmad","Kansas City Kansas CC RS																				Rose & Swetz","Cherry, Kaine",Aff,"28.9																					Belhachmi																													28.8																					Ahmad																													28.7																					Rose																													28.6																					Swetz"
"Concordia College ND																				Nolan & Depass","Kansas GW																				Glasscock & Woodcock","Bonitto, Mia",Neg,"28																					Nolan																													28.6																					Depass																													28.5																					Glasscock																													28.7																					Woodcock"
"George Mason HM																				Howley & Melton","Wake Forest GT																				Gidley & Tomasi","Repko, William",Neg,"28.5																					Howley																													28.7																					Melton																													28.6																					Gidley																													28.8																					Tomasi"
"Gonzaga EB																				Elias & Basler","Wayne State AD																				Anton & Davis","Herman, David",Neg,"28.6																					Elias																													28.8																					Basler																													29.4																					Anton																													29.2																					Davis"
"Pittsburgh CR																				Cusick & Ramanna","Missouri State DE																				Dickerson & Evans","Markoff, Andrew",Neg,"28																					Cusick																													28.1																					Ramanna																													28.2																					Dickerson																													28.3																					Evans"
"Texas SK																				Stransky & Kilpatrick","Emory LB																				Baker & Lessnick","Hiland, Al",Aff,"29																					Stransky																													28.5																					Kilpatrick																													28.9																					Lessnick																													29.1																					Baker"
"Michigan State CL																				Campbell & Lewis","Cal State Fullerton HJ																				Harris & Johnston","Brough, Taylor",Neg,"28.6																					Campbell																													28.8																					Lewis																													28.9																					Harris																													28.7																					Johnston"
"Kansas CH																				Crater & Henry","Iowa RW																				Roetlin & Wright","Ehrlich, Miranda",Neg,"28.4																					Crater																													28.5																					Henry																													28.8																					Roetlin																													28.6																					Wright"
"Kansas HW																				Hegna & Walter","UT Dallas JB																				Johnson & Becker","Coleman, Matt",Aff,"29.1																					Hegna																													29																					Walter																													28																					Johnson																													28.3																					Becker"
"Georgetown KL																				Knez & Louvis","Trinity DK																				Dill & Khullar","Whitmore, Whit",Aff,"29.5																					Knez																													29.2																					Louvis																													28.9																					Dill																													29																					Khullar"
"California, Berkeley WG																				Wimsatt & Gray","Wake Forest NW																				Nys & Williams","Hampton, Jyleesa",Aff,"29.1																					Wimsatt																													29																					Gray																													29.3																					Nys																													28.9																					Williams"
"Johnson County Community College CK																				Choong & Keil","Central Oklahoma CM																				Colen & Moore","Green, LaToya",Neg,"28.3																					Choong																													28.4																					Keil																													28.8																					Colen																													28.7																					Moore"
"Houston LS																				Love & Spiehler","Pittsburgh BF																				Brahin & Ferolie","Baez, Kristiana",Neg,"28.4																					Love																													28.6																					Spiehler																													29																					Brahin																													28.9																					Ferolie"
"Rutgers-Newark NM																				Nave & Murphy","George Mason KO																				Kaye & Oliver","Foley, Jordan",Aff,"28.9																					Nave																													28.8																					Murphy																													28.7																					Kaye																													28.6																					Oliver"
