Aff,Neg,Judging,Win,Points/Ranks
"Vanderbilt DN																				Du & Newell","Georgia Hoover & Henderson																				Hoover & Henderson","Bagwell, Dan",Neg,"27.9																					Du																													27.8																					Newell																													28.4																					Hoover																													28.3																					Henderson"
"Florida State RR																				Rodriguez & Rossier","Georgia Herrera & Li																				Herrera & Li","Merritt, Candice",Aff,"28.4																					Rodriguez																													28.3																					Rossier																													27.9																					Herrera																													28																					Li"
"Georgia State CW																				Croitoru & Williams","Vanderbilt KM																				Kohlmaier & Markovich","Ridley, Sean",Neg,"28.5																					Croitoru																													28.2																					Williams																													28.4																					Kohlmaier																													28.3																					Markovich"
"Florida State HS																				Hartwig & Schulster","Louisville WW																				Walker & Williams","Mathis, Erik",Aff,"28.4																					Hartwig																													28.6																					Schulster																													28.5																					Walker																													28.3																					Williams"
"Louisville Pope & Tolbert																				Pope & Tolbert","Florida Allums & Scolaro																				Allums & Scolaro","Vitolo, CV",Neg,"28.3																					Pope																													28.5																					Tolbert																													28.6																					Allums																													28.2																					Scolaro"
"Georgia State Flint & Nails																				Flint & Nails","Vanderbilt CK																				Carey & Kunte","Hart, Andrew",Aff,"29																					Flint																													29.1																					Nails																													27.8																					Carey																													27.7																					Kunte"
"Emory Tucker & Morbeck																				Tucker & Morbeck","Georgia Hackman & Marshall																				Hackman & Marshall","Barouch, Tim",Neg,"28.3																					Tucker																													28.2																					Morbeck																													28.5																					Hackman																													28.4																					Marshall"
"Georgia Mahajan & Hines																				Mahajan & Hines","Emory Baker & Yamout																				Baker & Yamout","Bleyle, Brittney",Neg,"28.4																					Mahajan																													28.2																					Hines																													28.7																					Baker																													28.8																					Yamout"
"Georgia Mokhemar & Yonter																				Mokhemar & Yonter","Emory Gross & Nelson																				Gross & Nelson","Donnenfeld, Lauren",Aff,"28.1																					Mokhemar																													28																					Yonter																													27.7																					Gross																													27.5																					Nelson"
"Emory WZ																				Wu & Zhou","Florida Callaghan & Kizito																				Callaghan & Kizito","Porter, Kristen",Neg,"24																					Vemulapalli																													25																					Zhou																													26																					Callaghan																													25.5																					Kizito"
"Georgia State De La Huerta & Hussein																				De La Huerta & Hussein","Vanderbilt/Samford RN																				Remiker & Nikont","Joiner, Brina",Aff,"29																					De La Huerta																													30																					Hussein																													28.5																					Remiker																													27																					Nikont"
