Aff,Neg,Judging,Win,Points/Ranks,Ranks
"Oklahoma Pruitt & Witman																				Pruitt & Witman","Central Oklahoma Colen & Colquitt																				Colen & Colquitt","montee, andy",Neg,"3											28.5																					Pruitt																																								 4											28.4																					Witman																																								 1											28.7																					Colen																																								 2											28.6																					Colquitt",
"Kansas State Ford & Smith																				Ford & Smith","Central Oklahoma Flake & Meeker																				Flake & Meeker","McBride, Brian",Aff,"3											28.2																					Ford																																								 1											28.5																					Smith																																								 2											28.4																					Flake																																								 4											28.1																					Meeker",
"Baylor Barron & Conner																				Barron & Conner","Missouri State West & Wicks																				West & Wicks","Moore, Matthew",Aff,"2											28.6																					Barron																																								 1											28.7																					Conner																																								 4											28.2																					West																																								 3											28.3																					Wicks",
"Missouri - Kansas City Mitchell & Kroger																				Mitchell & Kroger","Kansas Fort & Atkins																				Fort & Atkins","Murillo, Gabe",Aff,"2											28.4																					Mitchell																																								 1											28.5																					Kroger																																								 3											28.3																					Fort																																								 4											28.2																					Atkins",
"Towson Booker & Medeiros																				Booker & Medeiros","North Texas Rowe & Proal																				Rowe & Proal","Brennan, Eli",Aff,"2											28.8																					Booker																																								 1											29																					Medeiros																																								 3											28																					Rowe																																								 4											27.5																					Proal",
"Wichita State Crane & Welch																				Crane & Welch","Arizona State Ferdowsian & Vinson																				Ferdowsian & Vinson","Cheek, Ryan",Aff,"1											28.6																					Crane																																								 2											28.5																					Welch																																								 3											28.4																					Ferdowsian																																								 4											28																					Vinson",
"Kansas City Kansas CC Willett & Williams																				Willett & Williams","Iowa Roetlin & Wright																				Roetlin & Wright","McCullough, Hunter",Aff,"1											28.3																					Willett																																								 3											28.1																					Williams																																								 2											28.2																					Roetlin																																								 4											28																					Wright",
"Towson Begum & Goodman																				Begum & Goodman","Rutgers-Newark Stafford & Carrera																				Stafford & Carrera","Jackson, Jalisa",Neg,"2											28.7																					Begum																																								 4											28.3																					Goodman																																								 3											28.5																					Stafford																																								 1											28.8																					Carrera",
"Kansas Robinson & Bell																				Robinson & Bell","Binghamton Buttgereit & Smith																				Buttgereit & Smith","Brough, Taylor",Aff,"1											29.2																					Robinson																																								 2											29.1																					Bell																																								 4											28.7																					Buttgereit																																								 3											29																					Smith",
"Oklahoma Juarez & White																				Juarez & White","Texas Bleiweiss & Pabst																				Bleiweiss & Pabst","Thomas, Troi",Neg,"4											28.5																					Juarez																																								 3											28.6																					White																																								 2											28.7																					Bleiweiss																																								 1											28.8																					Pabst",
"Texas Blaker & Wilczynski																				Blaker & Wilczynski","Northern Iowa Kuiper & Miller																				Kuiper & Miller","Schauer, Courtney",Neg,"3											28.5																					Blaker																																								 4											28.4																					Wilczynski																																								 1											28.8																					Kuiper																																								 2											28.7																					Miller",
"Oklahoma Smith & Wyde																				Wyde & Smith","Central Oklahoma Karns & Moore																				Karns & Moore","Klucas, Kyle",Aff,"1											29																					Smith																																								 2											28.9																					Wyde																																								 4											28.3																					Karns																																								 3											28.5																					Moore",
"Florida Allums & Scolaro																				Allums & Scolaro","Baylor Woods & Zoda																				Woods & Zoda","Leonardi, Chris",Neg,"4											28																					Allums																																								 3											28.3																					Scolaro																																								 2											28.8																					Woods																																								 1											29.1																					Zoda",
