Aff,Neg,Judging,Win,Points/Ranks
"Mary Washington BW																				Bernard & Williams","Wake Forest AY																				Autlwetse & Ye","Woodward, David Michael",Neg,"28.1																					Bernard																													28.2																					Williams																													28																					Autlwetse																													28.3																					Ye"
"Liberty AG																				Alvord & Green","Washington/Minnesota YK																				Yang & Kowal","Shook, Lindsey",Aff,"28.3																					Alvord																													28.6																					Green																													27.5																					Yang																													27.6																					Kowal"
"Boston College CO																				Champagne & Ottum","George Mason LA																				Lauer & Ahmed","Wullschleger, Austin",Neg,"27.5																					Champagne																													27.3																					Ottum																													28.5																					Lauer																													28.7																					Ahmed"
"Liberty PE																				Parish & Emile","Miami KK																				Kardys & Kozloski","Miller, Ellie",Aff,"28.4																					Parish																													28.3																					Emile																													28.2																					Kardys																													28.1																					Kozloski"
"George Mason VM																				Velez & Morrison","Navy PY																				Psichas & Yu","Revelins, Armands",Neg,"27.7																					Velez																													27.4																					Morrison																													28.2																					Psichas																													28.3																					Yu"
"George Mason GR																				Guzman & Reddy","Miami LP																				Li & Pu","Lyle, Jim",Aff,"27.6																					Guzman																													28																					Reddy																													27																					Li																													27.4																					Pu"
"Navy SG																				Swain & German","George Mason WS																				Ward & Saverio","Brass, Oliver",Aff,"28.2																					Swain																													28.5																					German																													27.7																					Ward																													27.6																					Saverio"
"Liberty AB																				Allison & Barnett","George Mason LB																				Biggs & Ludwig","Herndon, Scott",Neg,"27.5																					Allison																													28.2																					Barnett																													28.5																					Ludwig																													28																					Biggs"
"George Mason KK																				Kim & Kazangian","Liberty GS																				Grimes & Stewart","Waldinger, Patrick",Neg,"28																					Kazangian																													28.2																					Kim																													28.6																					Grimes																													28.4																					Stewart"
"George Mason TB																				Troxel & Beck","James Madison BL																				Besecky & Lee","Katsulas, John",Aff,"29.5																					Troxel																													30																					Beck																													26.1																					Besecky																													26																					Lee"
"Washington BS																				Braun & Strand","George Mason ZA																				Zhao & Alvarez","Crenshaw, Michael",Neg,"27.1																					Braun																													27.2																					Strand																													27.7																					Zhao																													27.6																					Alvarez"
"Liberty BM																				Barnett & Macumber","George Mason ZS																				Zafar & Silva","Perez, Samantha",Aff,"28.2																					Barnett																													28.3																					Macumber																													27.5																					Zafar																													27.4																					Silva"
