Aff,Neg,Judging,Win,Points/Ranks
"Binghamton BS																				Buttgereit & Smith","Wyoming HL																				Hellebuick & Lamb","Jallits, Matthew",Aff,"28.8																					Buttgereit																													28.7																					Smith																													28.4																					Hellebuick																													28.2																					Lamb"
"Southern Methodist NS																				Nintunze & Shivji","George Mason OT																				Oliver & Thomas","Leeson-Schatz, Joe",Neg,"28.3																					Nintunze																													28.4																					Shivji																													28.6																					Oliver																													28.7																					Thomas"
"UC Berkeley OP																				Obuchi & Park","Nevada Las Vegas BO																				Berrios & Ogata","Stroud, Micheal",Aff,"29																					Obuchi																													29.1																					Park																													28.7																					Berrios																													28.9																					Ogata"
"Weber State GT																				Gaither & Tippets","Nevada Las Vegas SS																				Smith & Stinnett","Denney, Ashley",Aff,"28.8																					Gaither																													28.7																					Tippets																													28.4																					Smith																													28.3																					Stinnett"
"Binghamton AY																				Allan & Yan","Johnson County Community ES																				Engelbert & Singleton","Myers, Andrew",Aff,"28.6																					Allan																													29.1																					Yan																													28.5																					Engelbert																													28.9																					Singleton"
"Nevada Las Vegas KA																				Kezios & Aguilar","Washington EM																				Elizondo & Maghirang","Richey, Kate",Aff,"29																					Kezios																													29.1																					Aguilar																													28.6																					Elizondo																													28.5																					Maghirang"
"Washington HP																				Hiatt & Petrone","Missouri - Kansas City SS																				Schartz & Scott","Stout, Daniel",Neg,"27.8																					Hiatt																													28																					Petrone																													28.5																					Schartz																													29.6																					Scott"
"Texas JS																				Jones & Sen","Weber State HR																				Hall & Rawle","Crossan, Ben",Aff,"28.4																					Jones																													28.7																					Sen																													28.5																					Legionaires																													28.3																					Rawle"
"Gonzaga WS																				Weinhardt & Skoog","UC Berkeley FM																				Fleming & Martin","Murillo, Gabe",Neg,"28.9																					Weinhardt																													28.7																					Skoog																													28.8																					Fleming																													29																					Martin"
"Gonzaga JM																				Johnson & McRoberts","Arizona State VF																				Vinson & Ferdowsian","Poapst, Jackie",Neg,"28.3																					Johnson																													28.4																					McRoberts																													28																					Vinson																													28.8																					Ferdowsian"
"Puget Sound QF																				Queirolo & Frank","Washington TT																				Taute & Thomas","McFarland, Hunter",Aff,"28.8																					Queirolo																													28.6																					Frank																													28.3																					Taute																													28.5																					Thomas"
"Cal State Fullerton GR																				Garcia & Ruano","Texas BP																				Bleiweiss & Pabst","Koehle, Joe",Neg,"29																					Garcia																													29.1																					Ruano																													28.5																					Bleiweiss																													28.6																					Pabst"
"Emporia State RW																				Rickard & Warma","Weber State LM																				Lovell & Mounarath","DiPiazza, Philip",Aff,"28.4																					Rickard																													28.5																					Warma																													28.3																					Lovell																													28.2																					Mounarath"
"Cal State Fullerton HJ																				Harris & Johnston","Oklahoma PS																				Plange & Sebunya","Shoell, Hannah",Neg,"29.5																					Harris																													29.4																					Johnston																													29.6																					Plange																													29.3																					Sebunya"
"Oklahoma SP																				Sanchez & Pickens","Iowa RS																				Roetlin & Shearer","Sehgal, Dhruv",Aff,"29.5																					Sanchez																													29.4																					Pickens																													29.2																					Roetlin																													29.3																					Shearer"
"Kansas State PP																				Pena & Penn","Weber State DM																				Doren & Medina","Cooper, Deven",Aff,"28.9																					Pena																													27.9																					Penn																													28.1																					Doren																													28.2																					Medina"
"Stanford AS																				Alison & Simon","Oklahoma PW																				Pruitt & Witman","Carroll, Darrian",Aff,"28.4																					Alison																													29.2																					Simon																													28.7																					Pruitt																													28.8																					Witman"
"San Francisco State GG																				Gray & Gonzalez","Texas BW																				Blaker & Wilczynski","Sharif, Khalid",Neg,"28																					Gray																													28.2																					Gonzalez																													28.4																					Blaker																													28.5																					Wilczynski"
"Texas SH																				Segura & Harun","Kansas State FS																				Ford & Smith","Ard, Marquis",Aff,"29.5																					Segura																													29.4																					Harun																													28.8																					Ford																													28.6																					Smith"
"Nevada Las Vegas WT																				Warren & Taylor","Missouri - Kansas City KM																				Kroger & Mitchell","Barquin, Joseph",Neg,"28.6																					Warren																													28.9																					Taylor																													29																					Kroger																													28.8																					Mitchell"
"Kansas State RL																				Risovi-Hendrickson & Leyba","UT San Antonio WF																				Warren & Fennessy","Reid-Brinkley, Shanara",Aff,"28.4																					Risovi-Hendrickson																													28.9																					Leyba																													28.5																					Warren																													28.3																					Fennessy"
"Nevada Las Vegas OM																				O'Reilly & Miller","Wyoming CH																				Culver & Henman","Albiniak, Teddy",Neg,"28.3																					O'Reilly																													28.4																					Miller																													28.7																					Culver																													28.5																					Henman"
"Arizona State SR																				Ram & Suresh","George Mason BH																				Brown & Hansen","Cheek, Ryan",Neg,"28.1																					Suresh																													28.4																					Ram																													28.8																					Brown																													28.7																					Hansen"
"Weber State RW																				Raso & Wilson","Texas CM																				Cheung & McKinley","Pauli, Amy",Aff,"28.5																					Raso																													28.2																					Wilson																													28.4																					Cheung																													28.3																					McKinley"
"Gonzaga BE																				Basler & Elias","Weber State AM																				Astel & Morales","Stevenson, James",Aff,"28.2																					Basler																													28.3																					Elias																													27.9																					Astel																													28																					Morales"
