Aff,Neg,Judging,Win,Points/Ranks
"Florida AS																				Alexis & Spicer","Navy AP																				Amodeo & Psichas","Lundeen, Sarah",Aff,"29																					Alexis																													28.9																					Spicer																													28.7																					Amodeo																													28.5																					Psichas"
"George Mason AR																				Ahmed & Reddy","Central Florida WU																				Wu & Uhlig","Hall, Heather",Aff,"28.8																					Ahmed																													28.5																					Reddy																													28.7																					Wu																													28.9																					Uhlig"
"George Mason ZK																				Zhao & Kim","Liberty DG																				Donley & Grimes","Ferguson, Kegan",Aff,"28.9																					Zhao																													28.8																					Kim																													28.5																					Donley																													28.6																					Grimes"
"George Mason MG																				Mahowald & Guzman","Florida State HS																				Hartwig & Schulster","Johnson, Korey",Neg,"28.4																					Mahowald																													28.2																					Guzman																													28.7																					Hartwig																													28.8																					Schulster"
"Central Florida OC																				Olson & Christie","Liberty AA																				Allison & Alvord","Hester, Michael",Aff,"29																					Olson																													28.2																					Christie																													28																					Allison																													28.5																					Alvord"
"George Mason BL																				Biggs & Ludwig","Georgia State BC																				Byars & Croitoru","Sheaff, Simon",Aff,"28.5																					Biggs																													28.4																					Ludwig																													27.7																					Byars																													28.8																					Croitoru"
"George Mason TK																				Turpen & Kazangian","Mercer WM																				Williams & Malcolm","Godbey, Samantha",Aff,"28.5																					Turpen																													28.7																					Kazangian																													28.6																					Williams																													28.4																					Malcolm"
"Boston College DW																				Dewhurst & Wortsman","Liberty BM																				Barnett & Macumber","Buchholz, Nathan",Neg,"28.5																					Dewhurst																													28.3																					Wortsman																													28.4																					Barnett																													28.6																					Macumber"
"MoSt/IU AK																				Njuguna & King","Liberty GH																				Grant & Hoffman","Dailey, Colin",Neg,"27.8																					Allgood																													27.6																					King																													27.9																					Grant																													27.7																					Hoffman"
"Samford/Miami AL																				Aubrey & Li","Liberty SB																				Stewart & Barnett","DeLong, Brian",Neg,"28																					Aubrey																													27.9																					Li																													28.3																					Stewart																													28.5																					Barnett"
