Aff,Neg,Judging,Win
"Kansas HW																				Hegna & Walter","George Mason HO																				Howley & Oliver","Hester, Michael																													Morris, Eric																													Strauss, David","Aff																																																		Aff																																																		Aff"
"Harvard GS																				Gordon & Slavinsky","Wake Forest MR																				Mitchell & Reddy","Bhattacharjee, Risha																													Shook, Lindsey																													Strong, Margaret","Neg																																																									Aff																																											Neg"
"Wake Forest AD																				Athanasopoulos & Dean","Wayne State CH																				Curtiss & Husic","Chiri, Vida																													Edwards, Meagan																													McFarland, Hunter","Aff																																																		Aff																																																		Aff"
"Kentucky BT																				Bannister & Trufanov","Minnesota AL																				Asirvatham & Leburu","Herndon, James																													Solice, Maggie																													Starks, LaTonya","Aff																																																		Aff																																																		Aff"
"Northwestern LY																				Levin & Young","Emory FG																				Forman & Gazmararian","O'Gorman, Danielle																													Steiner, Rebecca																													Wunderlich, Carly","Neg																																																		Neg																																																		Neg"
"Northwestern JW																				Jankovsky & Weideman","Emory SY																				Shaikh & Yamout","Bricker, Brett																													Roark, Collin																													Watson, Hays","Aff																																																																							Neg																																																		Neg"
"Nevada Las Vegas AK																				Aguilar & Kezios","Georgia RS																				Rice & Stupek","Bankey, Brendon																													Bennie, Natalie																													Hirn, Kevin","Neg																																																		Neg																																																		Neg"
"Harvard MS																				Midha & Sanjeev","Dartmouth FT																				Funston & Tambe","Arnett, David																													Lepp, Nick																													Meyers-Levy, Dustin","Aff																																																		Aff																																																		Aff"
"UC Berkeley GJ																				Gray & jameson","Nevada Las Vegas HG																				Horn & Gomez","Kall, Aaron																													Kwon, Young																													Perkins, Dallas","Neg																																																		Neg																																																		Neg"
"Michigan State BP																				Brown & Pepper","Kansas KR																				Katz & Robinson","Evans, Rashad																													Feldman, Jonah																													Smale, Bee","Neg																																																		Neg																																																		Neg"
"Michigan State MG																				Munsinger & Grossman","Texas KM																				Kilpatrick & Marriott-Voss","Atchison, Jarrod																													Cram, Travis																													Green, Justin","Aff																																																		Aff																																																		Aff"
"Michigan WG																				Walrath & Goldschlag","Wake Forest GT																				Gidley & Tomasi","Buntin, Jeff																													Harrigan, Casey																													Repko, William","Aff																																																		Aff																																																		Aff"
"Trinity DK																				Dill & Khullar","Harvard AM																				Asimow & Medrano","Harris, Scott																													Morgan, Will																													Woodward, David Michael","Neg																																																									Aff																																											Neg"
"Northwestern CE																				Callahan & Esman","West Georgia CJ																				Charles & Jordan","Bolman, Brad																													Chase, Allie																													Whitley, Kevin","Aff																																																		Aff																																																		Aff"
"Harvard CD																				Cordoves & Drecker-Waxman","Georgia AR																				Agrawal & Ramanan","Gliniecki, Tom																													Lastovica, Kyle																													Thur, Tyler","Neg																																																		Neg																																																		Neg"
"Emory DP																				Demers & Phillips","Emory CJ																				Cozad & James",BYE,
