Aff,Neg,Judging,Win,Points/Ranks
"Navy AG																				Amodeo & German","George Mason BL																				Beck & Ludwig","Leeson-Schatz, Joe",Neg,"28.4																					Amodeo																													28.3																					German																													28.6																					Beck																													28.5																					Ludwig"
"Wake Forest MB																				Mauney & Benavides","George Mason KiZh																				Kim & Zhao","Smith, Jason",Neg,"28.5																					Mauney																													27.8																					Benavides																													28.3																					Kim																													28.2																					Zhao"
"Liberty DG																				Donley & Grimes","Florida State HS																				Hartwig & Schulster","Whitley, Kevin",Neg,"28																					Donley																													28.1																					Grimes																													28.2																					Hartwig																													28.3																					Schulster"
"Liberty AA																				Allison & Alvord","Florida State RF																				Rubin & Foster","Walters, Heather",Aff,"28.6																					Allison																													28.5																					Alvord																													27.8																					Rubin																													28																					Foster"
"Mary Washington HW																				Huebler & Williams","George Mason BT																				Biggs & Turpen","Nagy, John",Neg,"28.1																					Huebler																													28.2																					Williams																													28.3																					Biggs																													28.4																					Turpen"
"United States Military FR																				Fredericks & Rosende","Liberty GH																				Grant & Hoffman","Lee, Khalil",Neg,"28.8																					Fredericks																													28.9																					Rosende																													28.6																					Grant																													28.3																					Hoffman"
"United States Military DW																				Drake & Watson","James Madison KM																				Kratowicz & Muralidaran","Kozak, Christopher",Neg,"28.2																					Drake																													28.1																					Watson																													28.4																					Kratowicz																													28.3																					Muralidaran"
"Boston College DW																				Dewhurst & Wong","George Mason AR																				Ahmed & Reddy","O'Gorman, Tom",Neg,"28.8																					Dewhurst																													28.9																					Wong																													29.8																					Ahmed																													29.5																					Reddy"
"Florida SS																				Sanchez & Spicer","Liberty BM																				Barnett & Macumber","Buchholz, Nathan",Aff,"28.2																					Sanchez																													28.3																					Spicer																													28																					Barnett																													28.1																					Macumber"
"United States Military LS																				Landefeld & Smith","George Mason KL																				Kazangian & Lauer","Monteiro, Luke",Neg,"28.5																					Landefeld																													27.8																					Smith																													28.9																					Kazangian																													28.4																					Lauer"
"Liberty SB																				Stewart & Barnett","George Mason MG																				Mahowald & Guzman","Milton, Nate",Aff,"28.5																					Stewart																													28.6																					Barnett																													28																					Mahowald																													27.9																					Guzman"
