Aff,Neg,Judging,Win,Points/Ranks
"Minnesota FW																				Ferguson & Wang","Southwestern CL																				Calles & Leon","Stevenson, James",Aff,"28.6																					Ferguson																													28.9																					Wang																													28.4																					Calles																													28.5																					Leon"
"Wyoming CH																				Culver & Henman","Washington AH																				Avery & Hartman","Frappier, Glen",Aff,"28.7																					Culver																													28.5																					Henman																													28.4																					Avery																													28.3																					Hartman"
"Washington EP																				Elizondo & Petrone","Gonzaga BM																				Basler & McRoberts","Thoma, Austin",Neg,"28.7																					Elizondo																													28.5																					Petrone																													28.6																					Basler																													28.9																					McRoberts"
"Minnesota KZ																				Kowal & Zhang","Weber State BR																				Baker & Rawle","Brittenham, Austin",Neg,"27.8																					Kowal																													28.2																					Zhang																													28.6																					Baker																													28.4																					Rawle"
"Weber State TW																				Thiede & Wilson","Puget Sound GW																				Griffiths & Willoughby","Mills, Jordan",Aff,"28.5																					Thiede																													28.4																					Wilson																													28.6																					Griffiths																													28.3																					Willoughby"
"Gonzaga BJ																				Blaber & Johnson","Washington HM																				Hiatt & Mains","Bess, Jeff",Aff,"28.8																					Blaber																													29.1																					Johnson																													28.6																					Hiatt																													28.3																					Mains"
"Minnesota DL																				Dharmadhikari & Le","Washington BT																				Bellis & Thomas","McColllum, Peter",Aff,"28.6																					Dharmadhikari																													28.3																					Le																													28.5																					Bellis																													28.4																					Thomas"
"Minnesota CW																				Cavnar-Johnson & Welborn","Weber State MM																				McPherson & Mounarath","Elias, James",Aff,"28.2																					Cavnar-Johnson																													28.1																					Welborn																													27.9																					McPherson																													28																					Mounarath"
"Puget Sound BV																				Bethelmie & Van Alstine","Weber State GM																				Gaither & Morales","Copenhaver, Roger",Neg,"28.4																					Bethelmie																													28.5																					Van Alstine																													29																					Gaither																													28.8																					Morales"
"Wyoming LT																				Talamantes & Lamb","Gonzaga DL																				DeGiovanni & Luther","Lee, Daniel",Aff,"28.7																					Lamb																													28.5																					Talamantes																													28.6																					DeGiovanni																													28.4																					Luther"
